Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2012-10-30,away,Washington,Cleveland,1610612764,0021200001,44.6,220.0,210.0,200,210,215.0,210.0,209.0,215.0,200.0,44.4,5.0,-110,6.0,-105.0,6.0,-110,6.0,-110,6.0,-105,6.0,-108,5.83,-108.0,6.0,5.0,-105,-110,47.3,187.0,-110.0,191.0,-104.0,191.0,-110,191.0,-110.0,191,-105,191.0,-110,190.33,-108.17,191.0,187.0,-104,-110.0,84.0,-10.0,L,178.0
2012-10-30,home,Cleveland,Washington,1610612739,0021200001,55.4,-260.0,-235.0,-240,-250,-255.0,-250.0,-246.0,-235.0,-255.0,55.6,-5.0,-110,-6.0,-105.0,-6.0,-110,-6.0,-110,-6.0,-115,-6.0,-112,-5.83,-110.33,-5.0,-6.0,-105,-115,52.7,187.0,-110.0,191.0,-106.0,191.0,-110,191.0,-110.0,191,-115,191.0,-110,190.33,-110.17,191.0,187.0,-106,-115.0,94.0,10.0,W,178.0
2012-10-30,away,Boston,Miami,1610612738,0021200002,44.8,220.0,244.0,240,230,225.0,235.0,234.8,244.0,225.0,48.2,7.5,-110,6.5,-105.0,6.0,-101,6.0,-110,7.0,-115,6.5,-110,6.58,-108.5,7.5,6.0,-101,-115,51.6,182.0,-110.0,187.5,-105.0,187.5,-104,187.5,-110.0,188,-105,187.0,-110,186.58,-107.33,188.0,182.0,-104,-110.0,107.0,-13.0,L,227.0
2012-10-30,home,Miami,Boston,1610612748,0021200002,55.2,-260.0,-275.0,-260,-270,-265.0,-280.0,-270.0,-260.0,-280.0,51.8,-7.5,-110,-6.5,-105.0,-6.0,-109,-6.0,-110,-7.0,-105,-6.5,-110,-6.58,-108.17,-6.0,-7.5,-105,-110,48.4,182.0,-110.0,187.5,-105.0,187.5,-106,187.5,-110.0,188,-115,187.0,-110,186.58,-109.33,188.0,182.0,-105,-115.0,120.0,13.0,W,227.0
2012-10-30,away,Dallas,L.A. Lakers,1610612742,0021200003,40.8,350.0,393.0,420,400,375.0,385.0,394.6,420.0,375.0,49.0,9.5,-110,8.5,-103.0,8.5,-105,8.5,-110,9.0,-105,8.5,-110,8.75,-107.17,9.5,8.5,-103,-110,42.6,185.0,-110.0,186.0,-100.0,186.0,-105,185.5,-110.0,187,-110,186.5,-110,186.0,-107.5,187.0,185.0,-100,-110.0,99.0,8.0,W,190.0
2012-10-30,home,L.A. Lakers,Dallas,1610612747,0021200003,59.2,-425.0,-460.0,-475,-505,-550.0,-470.0,-492.0,-460.0,-550.0,51.0,-9.5,-110,-8.5,-107.0,-8.5,-105,-8.5,-110,-9.0,-115,-8.5,-110,-8.75,-109.5,-8.5,-9.5,-105,-115,57.4,185.0,-110.0,186.0,-110.0,186.0,-105,185.5,-110.0,187,-110,186.5,-110,186.0,-109.17,187.0,185.0,-105,-110.0,91.0,-8.0,L,190.0
2012-10-31,away,Indiana,Toronto,1610612754,0021200004,41.9,-145.0,-113.0,-118,-120,,-120.0,-117.75,-113.0,-120.0,51.5,-4.0,-110,-1.5,-102.0,-1.0,-110,-1.5,-110,-2.0,-105,-1.5,-110,-1.92,-107.83,-1.0,-4.0,-102,-110,53.5,188.0,-110.0,190.0,-109.0,190.0,-110,190.5,-110.0,190,-110,190.0,-110,189.75,-109.83,190.5,188.0,-109,-110.0,90.0,2.0,W,178.0
2012-10-31,home,Toronto,Indiana,1610612761,0021200004,58.1,125.0,102.0,-102,100,,100.0,50.0,102.0,-102.0,48.5,4.0,-110,1.5,-108.0,1.0,-110,1.5,-110,2.0,-115,1.5,-110,1.92,-110.5,4.0,1.0,-108,-115,46.5,188.0,-110.0,190.0,-101.0,190.0,-110,190.5,-110.0,190,-110,190.0,-110,189.75,-108.5,190.5,188.0,-101,-110.0,88.0,-2.0,L,178.0
2012-10-31,away,Denver,Philadelphia,1610612743,0021200005,53.4,105.0,-120.0,-130,-130,,-130.0,-127.5,-120.0,-130.0,58.4,1.5,-110,-1.5,-108.0,-2.0,-110,-1.5,-115,-2.0,-110,-2.0,-110,-1.25,-110.5,1.5,-2.0,-108,-115,47.1,202.0,-110.0,196.5,-100.0,197.5,-110,197.0,-110.0,197,-110,197.0,-110,197.83,-108.33,202.0,196.5,-100,-110.0,75.0,-9.0,L,159.0
2012-10-31,home,Philadelphia,Denver,1610612755,0021200005,46.6,-125.0,109.0,110,110,,110.0,109.75,110.0,109.0,41.6,-1.5,-110,1.5,-102.0,2.0,-110,1.5,-105,2.0,-110,2.0,-110,1.25,-107.83,2.0,-1.5,-102,-110,52.9,202.0,-110.0,196.5,-110.0,197.5,-110,197.0,-110.0,197,-110,197.0,-110,197.83,-110.0,202.0,196.5,-110,-110.0,84.0,9.0,W,159.0
