Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2013-04-20,away,Boston,New York,1610612738,0041200111,42.8,250,300,305,300,280.0,290,295.0,305.0,280.0,52.1,7.5,-110,7.5,-108,7.5,-109,7.5,-110,7.5,-115,7.5,-110,7.5,-110.33,7.5,7.5,-108,-115,41.2,192.5,-110,188.5,-105.0,189.0,-108,189.0,-110,189,-110,189.0,-105,189.5,-108.0,192.5,188.5,-105.0,-110,78,-7,L,163
2013-04-20,home,New York,Boston,1610612752,0041200111,57.2,-300,-343,-335,-360,-360.0,-350,-349.6,-335.0,-360.0,47.9,-7.5,-110,-7.5,-102,-7.5,-101,-7.5,-110,-7.5,-105,-7.5,-110,-7.5,-106.33,-7.5,-7.5,-101,-110,58.8,192.5,-110,188.5,-105.0,189.0,-102,189.0,-110,189,-110,189.0,-115,189.5,-108.67,192.5,188.5,-102.0,-115,85,7,W,163
2013-04-20,away,Chicago,Brooklyn,1610612741,0041200131,52.8,170,163,170,165,165.0,165,165.6,170.0,163.0,55.4,4.5,-110,4.5,-108,4.5,-108,4.5,-110,4.5,-115,4.5,-110,4.5,-110.17,4.5,4.5,-108,-115,41.1,184.0,-110,181.5,-100.0,181.5,-105,181.0,-110,181,-115,181.5,-110,181.75,-108.33,184.0,181.0,-100.0,-115,89,-17,L,195
2013-04-20,home,Brooklyn,Chicago,1610612751,0041200131,47.2,-195,-181,-185,-190,-190.0,-190,-187.2,-181.0,-190.0,44.6,-4.5,-110,-4.5,-102,-4.5,-102,-4.5,-110,-4.5,-105,-4.5,-110,-4.5,-106.5,-4.5,-4.5,-102,-110,58.9,184.0,-110,181.5,-110.0,181.5,-105,181.0,-110,181,-105,181.5,-110,181.75,-108.33,184.0,181.0,-105.0,-110,106,17,W,195
2013-04-20,away,Golden State,Denver,1610612744,0041200161,47.3,330,314,325,315,300.0,315,313.8,325.0,300.0,46.2,7.0,-110,7.5,-104,7.5,-101,7.5,-110,7.5,-110,8.0,-115,7.5,-108.33,8.0,7.0,-101,-115,62.6,210.0,-110,211.5,-101.0,211.5,-105,211.5,-110,212,-110,211.5,-110,211.33,-107.67,212.0,210.0,-101.0,-110,95,-2,L,192
2013-04-20,home,Denver,Golden State,1610612743,0041200161,52.7,-400,-360,-360,-375,-400.0,-375,-374.0,-360.0,-400.0,53.8,-7.0,-110,-7.5,-106,-7.5,-109,-7.5,-110,-7.5,-110,-8.0,-105,-7.5,-108.33,-7.0,-8.0,-105,-110,37.4,210.0,-110,211.5,-109.0,211.5,-105,211.5,-110,212,-110,211.5,-110,211.33,-109.0,212.0,210.0,-105.0,-110,97,2,W,192
2013-04-20,away,Memphis,L.A. Clippers,1610612763,0041200171,49.2,180,211,210,205,210.0,210,209.2,211.0,205.0,52.5,4.5,-110,5.5,-105,5.5,-103,5.5,-110,5.5,-115,5.5,-110,5.33,-108.83,5.5,4.5,-103,-115,51.5,182.0,-110,178.0,-100.0,178.5,-107,179.0,-110,180,-105,178.5,-110,179.33,-107.0,182.0,178.0,-100.0,-110,91,-21,L,203
2013-04-20,home,L.A. Clippers,Memphis,1610612746,0041200171,50.8,-210,-236,-230,-245,-250.0,-250,-242.2,-230.0,-250.0,47.5,-4.5,-110,-5.5,-105,-5.5,-107,-5.5,-110,-5.5,-105,-5.5,-110,-5.33,-107.83,-4.5,-5.5,-105,-110,48.5,182.0,-110,178.0,-110.0,178.5,-103,179.0,-110,180,-115,178.5,-110,179.33,-109.67,182.0,178.0,-103.0,-115,112,21,W,203
2013-04-21,away,Milwaukee,Miami,1610612749,0041200101,50.3,1200,1300,1200,1395,,1200,1273.75,1395.0,1200.0,34.4,12.0,-110,13.0,-102,13.5,-110,14.0,-115,14.0,-115,13.5,-110,13.33,-110.33,14.0,12.0,-102,-115,45.7,199.0,-110,197.0,-100.0,197.0,-110,197.0,-110,198,-105,197.0,-110,197.5,-107.5,199.0,197.0,-100.0,-110,87,-23,L,197
2013-04-21,home,Miami,Milwaukee,1610612748,0041200101,49.7,-2000,-2000,-1900,-2095,,-2000,-1998.75,-1900.0,-2095.0,65.6,-12.0,-110,-13.0,-108,-13.5,-110,-14.0,-105,-14.0,-105,-13.5,-110,-13.33,-108.0,-12.0,-14.0,-105,-110,54.3,199.0,-110,197.0,-110.0,197.0,-110,197.0,-110,198,-115,197.0,-110,197.5,-110.83,199.0,197.0,-110.0,-115,110,23,W,197
