Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2015-04-18,away,Milwaukee,Chicago,1610612749,0041400121,40.2,330,342,348,335,315.0,335,335.0,348.0,315.0,34.0,7.0,-115,8.0,-100,8.0,-101,8.5,-105,8.5,-110,8.0,-105,8.0,-106.0,8.5,7.0,-100,-115,0.0,192.0,-110,186.5,-105,186.0,-105,185.5,-105,186,-115,186.5,-110,187.08,-108.33,192.0,185.5,-105,-115,91,-12,L,194
2015-04-18,home,Chicago,Milwaukee,1610612741,0041400121,59.8,-400,-395,-390,-415,-430.0,-405,-407.0,-390.0,-430.0,66.0,-7.0,-105,-8.0,-110,-8.0,-109,-8.5,-105,-8.5,-110,-8.0,-115,-8.0,-109.0,-7.0,-8.5,-105,-115,100.0,192.0,-110,186.5,-105,186.0,-105,185.5,-105,186,-105,186.5,-110,187.08,-106.67,192.0,185.5,-105,-110,103,12,W,194
2015-04-18,away,Washington,Toronto,1610612764,0041400131,52.5,160,166,160,165,165.0,165,164.2,166.0,160.0,40.0,4.5,-115,4.0,-101,4.0,-110,4.0,-105,4.5,-115,4.0,-110,4.17,-109.33,4.5,4.0,-101,-115,53.7,196.0,-110,194.5,-104,194.5,-110,194.5,-105,195,-110,194.5,-110,194.83,-108.17,196.0,194.5,-104,-110,93,7,W,179
2015-04-18,home,Toronto,Washington,1610612761,0041400131,47.5,-180,-185,-185,-190,-190.0,-190,-188.0,-185.0,-190.0,60.0,-4.5,-105,-4.0,-109,-4.0,-110,-4.0,-105,-4.5,-105,-4.0,-110,-4.17,-107.33,-4.0,-4.5,-105,-110,46.3,196.0,-110,194.5,-106,194.5,-110,194.5,-105,195,-110,194.5,-110,194.83,-108.5,196.0,194.5,-105,-110,86,-7,L,179
2015-04-18,away,New Orleans,Golden State,1610612740,0041400141,0.0,535,760,650,725,,725,715.0,760.0,650.0,38.7,10.5,-110,12.5,-103,12.5,-110,12.5,-105,12.5,-110,12.5,-108,12.17,-107.67,12.5,10.5,-103,-110,0.0,206.0,-110,205.0,-105,205.0,-110,205.5,-105,207,-105,205.0,-110,205.58,-107.5,207.0,205.0,-105,-110,99,-7,L,205
2015-04-18,home,Golden State,New Orleans,1610612744,0041400141,100.0,-700,-1000,-1000,-975,,-1000,-993.75,-975.0,-1000.0,61.3,-10.5,-110,-12.5,-107,-12.5,-110,-12.5,-105,-12.5,-110,-12.5,-112,-12.17,-109.0,-10.5,-12.5,-105,-112,100.0,206.0,-110,205.0,-105,205.0,-110,205.5,-105,207,-115,205.0,-110,205.58,-109.17,207.0,205.0,-105,-115,106,7,W,205
2015-04-18,away,Dallas,Houston,1610612742,0041400151,50.0,200,205,195,200,205.0,200,201.0,205.0,195.0,41.8,6.0,-110,5.5,-103,5.5,-110,5.5,-105,6.0,-110,5.5,-105,5.67,-107.17,6.0,5.5,-103,-110,60.1,211.0,-110,212.5,-108,212.5,-110,213.0,-105,214,-105,213.0,-110,212.67,-108.0,214.0,211.0,-105,-110,108,-10,L,226
2015-04-18,home,Houston,Dallas,1610612745,0041400151,50.0,-240,-230,-235,-235,-245.0,-240,-237.0,-230.0,-245.0,58.2,-6.0,-110,-5.5,-107,-5.5,-110,-5.5,-105,-6.0,-110,-5.5,-115,-5.67,-109.5,-5.5,-6.0,-105,-115,39.9,211.0,-110,212.5,-102,212.5,-110,213.0,-105,214,-115,213.0,-110,212.67,-108.67,214.0,211.0,-102,-115,118,10,W,226
2015-04-19,away,Brooklyn,Atlanta,1610612751,0041400101,48.1,470,638,575,575,425.0,600,562.6,638.0,425.0,7.7,8.0,-110,11.5,-109,11.5,-110,11.5,-105,10.5,-115,11.5,-110,10.75,-109.83,11.5,8.0,-105,-115,0.0,199.5,-110,205.0,-104,205.0,-110,204.5,-105,205,-110,205.0,-110,204.0,-108.17,205.0,199.5,-104,-110,92,-7,L,191
2015-04-19,home,Atlanta,Brooklyn,1610612737,0041400101,51.9,-575,-800,-850,-775,-650.0,-800,-775.0,-650.0,-850.0,92.3,-8.0,-110,-11.5,-101,-11.5,-110,-11.5,-105,-10.5,-105,-11.5,-110,-10.75,-106.83,-8.0,-11.5,-101,-110,100.0,199.5,-110,205.0,-115,205.0,-110,204.5,-105,205,-110,205.0,-110,204.0,-110.0,205.0,199.5,-105,-115,99,7,W,191
