,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
157,Ben Simmons,PHI,24,58,42,16,32.4,113.9,106.0,8.0,30.8,2.32,31.2,5.1,16.6,11.1,13.5,56.0,58.4,20.0,101.44,12.8,"3,973"
158,De'Aaron Fox,SAC,23,58,24,34,35.1,113.5,118.0,-4.5,32.6,2.40,22.2,1.6,8.5,5.0,9.3,52.3,56.5,30.4,101.86,12.4,"4,320"
159,Derrick Jones Jr.,POR,24,58,32,26,22.7,113.3,114.0,-0.8,4.9,1.47,11.1,5.5,9.4,7.4,7.6,55.4,57.6,12.2,99.50,5.8,"2,713"
160,Dwight Powell,DAL,29,58,36,22,16.6,112.8,108.8,4.0,9.0,1.58,17.8,8.6,15.8,12.3,11.3,63.1,68.8,12.9,99.87,9.9,"2,007"
161,Gary Trent Jr.,TOR,22,58,29,29,31.1,113.9,115.7,-1.8,6.7,1.86,8.4,1.4,6.9,4.0,4.5,51.3,53.4,20.4,99.82,7.1,"3,752"
162,Harrison Barnes,SAC,28,58,25,33,36.2,114.4,116.2,-1.8,12.8,2.16,19.4,3.1,15.2,9.2,9.0,57.5,62.6,16.9,101.16,10.7,"4,440"
163,JaMychal Green,DEN,30,58,38,20,19.3,111.8,107.6,4.1,7.0,1.00,10.5,7.2,17.7,12.2,10.5,56.8,59.0,17.2,97.77,8.8,"2,283"
164,Jaylen Brown,BOS,24,58,30,28,34.5,113.5,111.8,1.8,16.2,1.23,12.4,3.5,13.6,8.5,10.1,55.8,58.6,29.0,100.17,12.9,"4,169"
165,Steven Adams,NOP,27,58,26,32,27.7,114.9,115.0,-0.1,8.8,1.42,19.8,13.2,18.7,16.0,13.9,61.4,59.6,11.8,99.08,9.0,"3,320"
166,Timothe Luwawu-Cabarrot,BKN,26,58,38,20,18.1,112.5,112.9,-0.4,8.8,1.60,14.2,2.6,9.2,5.9,8.8,47.1,49.3,16.5,103.06,4.7,"2,247"
167,Tomas Satoransky,CHI,29,58,25,33,22.5,109.4,110.1,-0.8,27.8,2.82,37.3,2.4,8.7,5.5,13.2,57.8,61.4,15.0,99.25,9.6,"2,711"
168,Tyrese Haliburton,SAC,21,58,25,33,30.1,110.8,116.4,-5.6,24.7,3.36,29.7,2.2,7.6,4.9,8.8,56.9,58.5,17.5,102.31,10.4,"3,733"
169,Wesley Matthews,LAL,34,58,33,25,19.5,106.9,105.0,1.9,6.5,2.08,15.7,1.8,6.4,4.1,7.5,48.4,51.7,11.1,99.34,4.4,"2,335"
170,Zach LaVine,CHI,26,58,26,32,35.1,112.4,113.1,-0.8,22.5,1.39,16.3,1.8,12.1,7.1,11.7,59.6,63.4,30.2,101.34,14.0,"4,304"
171,D.J. Augustin,HOU,33,57,28,29,19.8,112.7,114.5,-1.8,22.3,2.89,29.7,1.7,6.3,4.0,10.3,51.5,57.0,16.4,101.99,7.9,"2,401"
172,Damion Lee,GSW,28,57,28,29,18.9,109.7,108.2,1.6,9.4,2.43,18.5,2.0,14.2,8.1,7.6,60.8,63.6,12.7,103.21,8.8,"2,322"
173,Davis Bertans,WAS,28,57,29,28,25.7,112.8,110.8,2.1,4.3,1.48,8.2,1.1,9.5,5.3,5.5,58.1,62.0,14.8,106.56,6.9,"3,269"
174,DeAndre Jordan,BKN,32,57,37,20,21.9,113.0,114.8,-1.9,9.9,1.09,19.9,9.7,23.1,16.8,18.2,76.3,73.6,12.8,101.05,11.2,"2,626"
175,Marcus Morris Sr.,LAC,31,57,38,19,26.3,117.4,113.1,4.2,5.6,1.02,7.9,2.5,13.3,8.0,7.8,59.2,61.4,19.4,98.69,9.1,"3,089"
176,Rui Hachimura,WAS,23,57,29,28,31.5,109.5,112.4,-2.8,6.2,1.21,9.4,2.6,13.9,8.3,7.8,51.3,54.9,18.0,105.48,8.2,"3,950"
177,Seth Curry,PHI,30,57,39,18,28.7,114.7,106.5,8.2,13.1,2.38,19.4,0.6,7.4,4.2,8.1,58.2,60.7,16.9,100.40,8.4,"3,444"
178,Thanasis Antetokounmpo,MIL,28,57,37,20,9.7,107.1,104.6,2.5,11.3,1.07,18.6,9.3,11.3,10.3,17.4,51.5,52.3,14.7,106.62,5.5,"1,204"
179,Garrett Temple,CHI,35,56,25,31,27.3,110.8,109.3,1.5,10.4,2.14,21.3,1.9,8.2,5.2,10.0,50.3,52.5,12.6,102.20,5.1,"3,254"
180,Kendrick Nunn,MIA,25,56,31,25,29.5,111.1,111.6,-0.4,14.0,1.85,16.2,1.3,9.6,5.5,8.8,57.8,59.6,20.5,97.49,9.5,"3,355"
181,Malcolm Brogdon,IND,28,56,27,29,34.5,110.6,111.1,-0.5,27.1,2.86,22.0,2.9,11.8,7.3,7.7,52.7,56.1,25.7,101.02,12.8,"4,056"
182,Mason Plumlee,DET,31,56,14,42,26.8,109.1,114.0,-4.9,20.5,1.92,26.5,9.5,26.4,17.6,13.8,61.4,63.8,16.3,98.52,12.9,"3,076"
183,Pascal Siakam,TOR,27,56,21,35,35.8,114.4,111.4,3.0,19.5,1.92,17.0,4.5,15.6,9.9,8.8,49.3,54.7,26.1,99.50,11.9,"4,161"
184,Paul Millsap,DEN,36,56,38,18,20.8,116.2,111.5,4.7,11.3,1.92,16.6,6.7,16.7,11.7,8.6,53.7,56.5,18.4,96.76,9.8,"2,339"
185,Sekou Doumbouya,DET,20,56,15,41,15.5,104.5,111.5,-6.9,8.0,1.07,11.7,4.5,11.7,8.2,10.9,42.6,45.9,17.6,99.17,4.5,"1,792"
186,Semi Ojeleye,BOS,26,56,28,28,17.0,107.6,107.8,-0.2,5.4,1.76,12.6,3.2,12.1,7.6,7.2,53.4,55.3,11.4,99.00,6.3,"1,963"
187,Will Barton,DEN,30,56,37,19,31.0,118.4,112.4,6.0,13.5,1.89,19.4,2.4,10.9,6.7,10.3,50.7,53.8,18.7,97.52,7.6,"3,535"
188,Darius Bazley,OKC,20,55,16,39,31.2,100.7,113.8,-13.1,9.1,0.81,10.0,2.7,19.3,10.8,12.3,45.6,49.1,21.8,102.43,8.6,"3,659"
189,Devonte' Graham,CHA,26,55,23,32,30.2,109.2,107.1,2.1,27.2,3.51,26.4,1.3,7.5,4.3,7.5,51.0,55.2,21.1,99.34,10.3,"3,444"
190,Furkan Korkmaz,PHI,23,55,39,16,19.3,110.3,104.3,6.0,11.1,1.78,14.0,1.5,9.0,5.2,7.9,52.0,54.4,19.5,101.22,8.9,"2,243"
191,Jeff Teague,MIL,32,55,27,28,17.3,113.0,110.3,2.8,18.2,2.06,25.0,1.6,7.4,4.6,12.1,49.6,56.2,17.4,101.90,7.9,"2,017"
192,Kelly Oubre Jr.,GSW,25,55,27,28,30.7,105.2,109.8,-4.6,6.7,1.04,7.8,4.6,13.5,9.1,7.4,50.1,52.9,21.5,104.57,9.0,"3,667"
193,Lonzo Ball,NOP,23,55,23,32,31.8,114.2,113.7,0.5,24.6,2.57,27.1,1.8,12.9,7.3,10.5,53.7,55.1,20.2,100.81,10.5,"3,683"
194,Rodney Hood,TOR,28,55,29,26,17.1,107.4,114.0,-6.6,8.3,1.47,14.7,2.3,8.4,5.2,10.0,42.7,45.2,13.9,99.67,3.7,"1,957"
195,Daniel Gafford,WAS,22,54,31,23,14.7,112.5,108.4,4.1,5.1,0.71,8.5,11.8,16.0,14.0,12.0,68.4,69.7,16.1,104.72,12.2,"1,717"
196,Darius Garland,CLE,21,54,18,36,33.1,105.7,112.3,-6.6,29.8,2.01,24.4,1.3,6.2,3.7,12.1,51.7,54.7,24.5,98.78,10.1,"3,687"
197,Deni Avdija,WAS,20,54,25,29,23.3,107.8,109.9,-2.1,6.4,1.91,14.8,1.7,18.1,9.9,7.7,50.2,51.5,11.8,106.28,6.0,"2,773"
198,Drew Eubanks,SAS,24,54,21,33,14.0,103.6,108.2,-4.6,8.6,0.93,12.4,9.0,20.7,14.8,13.2,57.1,61.8,16.6,102.29,11.5,"1,599"
199,Jerami Grant,DET,27,54,15,39,33.9,108.3,111.5,-3.2,14.5,1.39,11.3,1.8,11.8,6.7,8.1,49.1,55.6,27.8,99.21,11.4,"3,783"
200,Kira Lewis Jr.,NOP,20,54,23,31,16.7,108.9,108.1,0.8,19.1,3.65,24.0,1.2,6.4,3.7,6.6,44.5,47.7,17.6,102.61,6.4,"1,937"
201,Kyrie Irving,BKN,29,54,36,18,34.9,119.4,113.8,5.6,26.9,2.49,19.9,2.9,10.1,6.7,8.0,57.6,61.4,29.7,101.13,14.9,"3,976"
202,Miye Oni,UTA,23,54,45,9,9.6,108.4,99.5,8.8,7.1,1.75,19.2,4.3,10.6,7.6,11.0,50.5,51.7,9.5,101.61,4.0,"1,097"
203,Paul George,LAC,31,54,38,16,33.7,118.3,107.0,11.3,23.9,1.56,18.6,2.6,17.1,10.1,11.9,55.7,59.8,29.6,97.55,14.5,"3,707"
204,Tristan Thompson,BOS,30,54,27,27,23.8,111.9,110.9,1.0,7.3,1.08,13.2,12.4,21.2,16.7,12.2,51.8,54.0,14.4,99.66,9.3,"2,670"
205,Tyler Herro,MIA,21,54,29,25,30.3,107.7,110.6,-2.9,18.4,1.82,17.9,1.5,14.4,8.1,9.8,51.6,54.3,22.5,98.46,10.8,"3,360"
206,Wendell Carter Jr.,ORL,22,54,21,33,25.5,104.5,113.5,-9.0,11.6,1.33,14.5,9.1,21.9,15.4,10.9,52.0,56.6,18.8,100.67,11.5,"2,893"
207,Aron Baynes,TOR,34,53,20,33,18.5,106.6,111.0,-4.4,7.0,1.02,11.4,8.2,19.2,13.5,11.1,48.5,50.3,15.7,101.31,7.0,"2,074"
208,Ben McLemore,LAL,28,53,20,33,17.1,105.0,109.2,-4.2,6.4,0.93,8.4,1.5,9.1,5.1,9.1,50.3,52.3,19.2,103.95,5.3,"1,952"
209,Caleb Martin,CHA,25,53,23,30,15.4,104.7,109.5,-4.9,12.3,2.03,17.5,3.6,12.5,8.1,8.6,43.6,46.5,16.4,99.93,6.7,"1,696"
210,Donovan Mitchell,UTA,24,53,39,14,33.4,117.1,109.2,7.9,26.6,1.88,16.8,2.8,9.5,6.3,8.9,52.0,56.9,32.7,99.99,13.8,"3,688"
211,Edmond Sumner,IND,25,53,23,30,16.2,111.8,112.2,-0.4,7.5,0.96,11.8,2.0,8.3,5.2,12.2,58.7,62.6,17.6,105.90,7.2,"1,889"
212,Juan Toscano-Anderson,GSW,28,53,28,25,20.9,109.4,105.6,3.8,18.1,2.46,34.6,2.6,17.2,10.2,14.1,66.7,67.6,10.8,104.08,9.8,"2,404"
213,Willie Cauley-Stein,DAL,27,53,29,24,17.1,114.4,105.0,9.4,5.3,1.21,12.4,7.3,17.5,12.6,10.3,63.5,64.7,12.0,99.00,8.4,"1,851"
214,Cody Martin,CHA,25,52,26,26,16.3,109.1,108.1,1.0,13.8,2.15,25.9,5.9,12.6,9.2,12.0,48.4,50.0,12.3,100.16,7.3,"1,762"
215,De'Anthony Melton,MEM,22,52,27,25,20.1,111.4,105.4,6.0,17.2,2.00,21.6,2.6,11.8,7.2,10.8,54.8,56.8,18.9,102.73,10.0,"2,230"
216,Fred VanVleet,TOR,27,52,22,30,36.5,113.6,110.2,3.3,26.4,3.45,23.8,1.6,10.1,5.7,6.9,48.9,53.4,23.7,99.17,11.5,"3,927"
217,Hamidou Diallo,DET,22,52,18,34,23.6,102.0,110.6,-8.6,13.3,1.33,13.8,4.6,16.1,10.5,10.4,50.6,54.1,21.8,100.59,9.9,"2,583"
218,Jimmy Butler,MIA,31,52,33,19,33.6,112.1,106.9,5.2,34.5,3.39,26.5,5.6,15.3,10.5,7.8,51.4,60.7,25.9,97.73,18.4,"3,557"
219,Juancho Hernangomez,MIN,25,52,19,33,17.3,110.5,115.4,-4.9,5.5,1.30,8.7,4.7,17.7,11.0,6.7,52.7,54.9,16.7,102.74,8.5,"1,937"
220,Kawhi Leonard,LAC,29,52,36,16,34.1,121.4,109.2,12.2,23.8,2.56,19.2,3.4,16.1,9.9,7.5,56.8,62.2,28.2,97.48,17.0,"3,603"
221,Luguentz Dort,OKC,22,52,18,34,29.7,104.4,111.6,-7.2,9.0,1.11,10.1,2.3,9.2,5.7,9.0,47.5,51.3,21.8,101.09,6.2,"3,242"
222,Marc Gasol,LAL,36,52,32,20,19.1,108.5,104.2,4.3,14.5,2.06,28.9,3.9,17.4,10.8,14.1,58.2,60.6,11.7,99.96,8.3,"2,068"
223,P.J. Tucker,MIL,36,52,27,25,26.1,109.2,114.7,-5.5,5.7,1.53,21.0,3.5,11.3,7.3,13.7,48.6,51.0,7.2,101.99,3.4,"2,871"
224,Robert Williams III,BOS,23,52,29,23,18.9,112.4,112.0,0.4,13.7,1.81,21.6,13.6,23.2,18.4,12.0,72.1,71.9,14.5,99.97,15.2,"2,052"
225,Danilo Gallinari,ATL,32,51,29,22,24.0,113.0,110.3,2.7,9.9,1.77,11.4,1.5,15.5,8.7,6.4,54.2,61.3,21.1,98.80,11.2,"2,526"
226,DeAndre' Bembry,TOR,26,51,23,28,19.1,108.1,107.7,0.4,15.7,1.51,24.6,3.3,11.2,7.2,16.3,54.4,57.0,14.2,101.10,7.9,"2,046"
227,James Johnson,NOP,34,51,21,30,20.5,106.4,111.4,-5.0,13.4,1.78,19.1,2.9,13.1,8.0,10.7,49.4,51.0,16.6,102.54,7.1,"2,220"
228,Joel Embiid,PHI,27,51,39,12,31.1,117.8,105.8,12.0,15.6,0.91,10.0,7.8,25.4,17.2,11.0,54.5,63.6,35.2,100.79,20.3,"3,331"
229,Jordan McLaughlin,MIN,25,51,15,36,18.4,102.6,108.8,-6.3,29.2,3.78,38.6,2.0,9.0,5.3,10.2,48.1,50.2,13.3,103.41,9.5,"2,018"
230,Jordan Poole,GSW,21,51,28,23,19.4,107.6,106.9,0.7,16.1,1.94,14.8,1.5,7.4,4.4,7.6,53.5,58.1,24.6,101.94,10.1,"2,105"
231,LaMelo Ball,CHA,19,51,23,28,28.8,108.7,111.8,-3.1,32.2,2.16,26.1,4.1,16.1,10.0,12.1,50.4,53.9,24.7,103.35,12.1,"3,169"
232,Lauri Markkanen,CHI,24,51,20,31,25.8,107.1,109.9,-2.8,5.1,0.87,6.9,2.7,17.3,10.1,7.9,59.4,61.9,19.7,100.78,11.0,"2,780"
233,Mike Conley,UTA,33,51,37,14,29.4,116.2,99.5,16.7,30.3,3.08,27.5,2.4,8.2,5.5,8.9,55.2,58.9,22.4,101.52,13.1,"3,176"
234,Mike Scott,PHI,32,51,35,16,16.7,105.7,105.9,-0.2,6.4,2.11,14.5,1.2,12.9,6.9,6.9,48.6,49.2,11.6,101.90,5.0,"1,806"
235,R.J. Hampton,ORL,20,51,20,31,17.4,102.6,116.7,-14.2,15.5,1.64,17.8,3.0,16.2,9.4,10.8,47.8,50.7,19.1,101.94,8.5,"1,879"
236,Sterling Brown,HOU,26,51,14,37,24.1,105.5,110.8,-5.4,8.8,1.76,15.6,2.9,14.7,8.6,8.9,58.4,59.7,13.3,102.14,8.2,"2,608"
237,Aaron Gordon,DEN,25,50,29,21,27.7,112.5,110.4,2.1,16.5,1.66,19.6,5.5,15.0,10.2,11.8,52.2,54.7,20.4,99.48,9.5,"2,868"
238,Dario Saric,PHX,27,50,37,13,17.4,115.9,104.4,11.5,10.4,1.14,12.7,5.5,16.8,11.2,11.2,51.6,56.7,21.8,101.27,9.4,"1,840"
239,Derrick Rose,NYK,32,50,28,22,25.6,109.8,105.0,4.9,27.6,2.68,21.9,1.5,8.1,4.9,8.2,51.1,55.0,25.2,98.32,13.3,"2,622"
240,Gabe Vincent,MIA,24,50,27,23,13.1,104.3,110.3,-5.9,16.1,1.97,19.6,1.6,6.8,4.3,9.9,47.6,49.8,18.4,97.74,4.9,"1,335"
241,Goran Dragic,MIA,35,50,30,20,26.7,110.1,108.6,1.5,26.0,1.86,23.1,1.9,10.7,6.3,12.5,51.4,55.2,23.9,98.59,9.7,"2,745"
242,Grayson Allen,MEM,25,50,26,24,25.2,111.6,111.0,0.5,11.6,2.25,17.9,1.4,10.6,6.0,7.9,54.7,58.6,16.4,102.33,8.4,"2,682"
243,Karl-Anthony Towns,MIN,25,50,19,31,33.8,114.6,114.7,-0.1,21.6,1.41,16.2,7.5,23.7,15.4,11.5,55.5,61.2,28.6,101.77,15.5,"3,588"
244,Maxi Kleber,DAL,29,50,31,19,26.8,113.5,108.9,4.6,6.6,2.27,17.4,3.5,15.1,9.5,7.7,58.0,60.6,10.3,100.10,7.3,"2,799"
245,Onyeka Okongwu,ATL,20,50,31,19,12.0,106.2,112.6,-6.3,4.7,0.62,8.2,10.0,17.2,13.5,13.2,64.4,65.5,14.1,101.40,8.7,"1,266"
246,PJ Dozier,DEN,24,50,36,14,21.8,112.0,102.5,9.5,11.6,2.00,17.7,3.1,13.3,8.2,8.8,48.3,50.1,16.6,99.31,7.6,"2,242"
247,Torrey Craig,PHX,30,50,33,17,16.1,111.0,114.7,-3.7,8.4,1.96,15.7,7.0,18.5,12.5,8.0,56.6,57.9,14.1,99.20,8.6,"1,645"
248,Yuta Watanabe,TOR,26,50,24,26,14.5,105.0,107.8,-2.7,7.9,2.11,15.9,4.6,17.1,10.6,7.5,53.9,56.5,12.1,101.77,8.9,"1,533"
249,Alec Burks,NYK,29,49,27,22,25.6,109.6,104.6,5.0,13.5,2.18,15.2,1.6,15.6,8.7,6.9,52.2,56.4,20.8,97.22,11.5,"2,540"
250,Cody Zeller,CHA,28,48,21,27,20.9,112.3,110.3,2.0,12.5,1.69,16.8,11.5,21.0,16.1,10.0,56.5,59.9,17.7,100.91,11.4,"2,113"
251,Jamal Murray,DEN,24,48,31,17,35.5,118.6,110.6,8.0,19.7,2.14,19.3,2.3,9.5,5.9,9.0,55.9,59.2,24.4,97.41,11.7,"3,468"
252,Marcus Smart,BOS,27,48,24,24,32.9,114.2,111.3,2.8,22.7,2.84,28.7,2.2,8.4,5.2,10.1,48.9,53.9,17.9,101.16,8.5,"3,332"
253,Nassir Little,POR,21,48,27,21,13.3,116.2,118.4,-2.2,4.9,1.28,10.1,4.6,14.4,9.4,7.9,55.1,58.9,13.5,99.06,7.2,"1,317"
254,Saben Lee,DET,21,48,14,34,16.3,105.4,111.7,-6.3,33.3,3.16,36.3,2.6,9.9,6.3,11.5,49.0,53.6,17.1,98.91,9.6,"1,614"
255,Brandon Goodwin,ATL,25,47,25,22,13.2,104.7,109.1,-4.4,24.6,2.64,25.4,1.2,9.7,5.3,9.6,44.8,47.1,19.0,99.05,7.2,"1,276"
256,CJ McCollum,POR,29,47,28,19,34.0,119.0,112.8,6.2,22.0,3.43,18.2,1.8,9.9,5.6,5.3,55.4,57.7,26.5,100.01,12.3,"3,333"
257,Caris LeVert,IND,26,47,24,23,31.6,111.9,112.1,-0.2,25.5,2.40,19.8,2.2,11.1,6.8,8.2,49.3,53.1,27.9,104.41,11.6,"3,231"
258,Cole Anthony,ORL,21,47,13,34,27.1,103.5,116.3,-12.8,24.1,1.81,21.2,2.7,14.2,8.1,11.7,44.9,49.6,23.5,100.08,9.1,"2,662"
259,Frank Kaminsky,PHX,28,47,33,14,15.2,113.5,108.9,4.6,15.4,3.59,20.5,5.1,20.8,13.1,5.7,53.1,54.7,18.5,99.62,10.6,"1,478"
260,Jalen McDaniels,CHA,23,47,18,29,19.2,104.6,113.9,-9.4,9.0,1.18,13.0,4.7,13.8,9.1,11.0,53.0,55.4,16.9,98.54,7.3,"1,852"
261,Josh Hart,NOP,26,47,21,26,28.7,111.9,112.1,-0.2,10.9,2.22,20.2,3.9,23.4,13.8,9.1,53.1,56.6,13.3,101.19,10.0,"2,847"
262,Malachi Flynn,TOR,23,47,21,26,19.7,103.8,109.4,-5.6,22.5,3.19,25.3,1.0,11.4,6.0,7.9,45.3,48.4,18.3,101.04,8.3,"1,958"
263,Monte Morris,DEN,25,47,30,17,25.5,115.7,109.5,6.2,17.2,4.41,24.9,0.9,7.1,4.0,5.6,54.7,57.4,16.1,98.88,9.2,"2,464"
264,Myles Turner,IND,25,47,22,25,31.0,109.2,107.9,1.3,4.7,0.72,7.8,4.3,15.9,10.2,10.9,55.7,59.9,16.7,100.71,9.0,"3,047"
265,Tony Snell,ATL,29,47,29,18,21.1,113.8,111.6,2.2,8.0,2.81,23.1,1.9,9.0,5.6,8.2,69.6,70.8,8.4,98.85,6.0,"2,051"
266,Willy Hernangomez,NOP,26,47,20,27,18.0,113.6,113.6,0.0,8.2,1.47,12.7,13.4,24.7,19.1,8.7,56.5,59.1,16.6,103.19,12.5,"1,813"
267,Aaron Nesmith,BOS,21,46,22,24,14.5,108.6,109.1,-0.5,4.7,1.00,9.7,4.1,14.6,9.3,9.7,55.1,57.3,13.3,101.13,6.0,"1,409"
268,Andre Drummond,LAL,27,46,19,27,27.0,107.5,111.4,-3.9,12.4,0.76,10.7,13.2,33.6,22.9,14.1,49.3,51.9,26.9,98.31,13.9,"2,540"
269,Blake Griffin,BKN,32,46,24,22,25.8,113.1,111.0,2.1,17.1,2.26,21.2,2.9,15.9,9.4,9.4,50.9,54.6,19.1,98.38,9.2,"2,435"
270,Damyean Dotson,CLE,27,46,14,32,19.7,97.0,109.4,-12.5,16.1,2.17,20.6,0.5,9.5,4.8,9.5,48.5,49.9,16.2,99.68,6.9,"1,893"
271,Isaiah Hartenstein,CLE,23,46,20,26,12.1,107.8,105.7,2.1,14.7,1.25,18.3,11.4,20.7,16.0,14.6,55.6,58.3,18.7,99.97,10.8,"1,152"
272,JaVale McGee,DEN,33,46,21,25,14.7,100.9,106.9,-6.1,9.8,0.65,9.5,10.5,23.1,16.6,14.6,52.0,54.1,22.8,99.87,11.5,"1,410"
273,Kyle Lowry,TOR,35,46,15,31,34.8,112.6,113.0,-0.3,31.1,2.68,30.0,2.1,13.3,7.5,11.2,54.6,59.3,20.9,101.38,11.5,"3,385"
274,Mo Bamba,ORL,23,46,11,35,15.8,102.4,115.2,-12.9,8.2,0.97,8.8,9.1,24.0,16.3,9.0,53.5,55.6,21.0,101.09,12.3,"1,523"
275,Nickeil Alexander-Walker,NOP,22,46,20,26,21.9,108.2,111.5,-3.3,15.5,1.48,15.6,1.2,12.7,6.9,10.5,50.2,52.2,22.8,100.54,8.8,"2,117"
276,Terrence Ross,ORL,30,46,16,30,29.3,103.2,112.0,-8.8,13.3,1.46,12.7,1.0,10.4,5.4,8.7,48.5,53.0,23.0,100.24,9.0,"2,818"
277,Wayne Ellington,DET,33,46,13,33,22.0,110.0,114.2,-4.3,9.7,2.03,14.9,1.2,7.3,4.2,7.3,61.2,62.5,16.2,99.33,7.5,"2,103"
278,Aleksej Pokusevski,OKC,19,45,13,32,24.2,98.1,114.9,-16.7,13.3,0.98,15.5,2.5,15.5,9.0,15.9,41.2,43.0,19.7,104.44,5.8,"2,373"
279,Chuma Okeke,ORL,22,45,15,30,25.2,102.6,109.8,-7.2,13.2,2.66,21.1,3.3,11.7,7.4,7.9,49.2,51.1,14.2,100.85,8.4,"2,374"
280,Goga Bitadze,IND,21,45,19,26,12.5,108.5,109.3,-0.8,8.7,2.18,13.4,9.5,14.8,12.1,6.2,47.9,52.3,16.9,105.27,7.8,"1,227"
281,Jake Layman,MIN,27,45,12,33,13.9,101.5,107.3,-5.8,6.7,1.08,11.1,1.9,8.3,5.1,10.3,55.7,57.7,14.7,104.15,7.4,"1,360"
282,Kenyon Martin Jr.,HOU,20,45,10,35,23.7,105.5,117.0,-11.5,6.8,1.26,10.9,6.3,15.9,10.8,8.6,56.4,59.0,15.4,102.71,9.0,"2,275"
283,LeBron James,LAL,36,45,30,15,33.4,112.4,103.2,9.2,39.4,2.08,24.3,2.0,20.2,11.4,11.7,57.6,60.2,31.0,100.41,19.1,"3,145"
284,Matt Thomas,UTA,26,45,27,18,7.3,100.0,109.3,-9.3,9.6,1.36,11.6,2.0,11.2,6.5,8.5,50.0,52.2,18.7,102.28,7.1,695
285,Moritz Wagner,ORL,24,45,19,26,16.0,104.9,112.8,-7.9,10.7,1.16,13.9,3.5,14.9,9.3,11.9,52.2,58.0,17.8,104.80,8.0,"1,568"
286,Nicolo Melli,DAL,30,45,26,19,12.6,106.3,105.2,1.1,10.8,3.67,21.2,4.6,16.6,10.2,5.8,40.8,44.1,12.3,96.87,6.4,"1,148"
287,Rajon Rondo,LAC,35,45,28,17,17.1,107.7,106.8,1.0,37.5,2.52,39.8,2.3,11.3,6.9,15.8,52.6,54.4,16.6,99.08,11.0,"1,591"
288,Taj Gibson,NYK,35,45,29,16,20.8,110.5,103.1,7.3,5.4,1.64,14.9,10.2,15.1,12.7,9.1,63.6,66.1,9.5,97.67,9.5,"1,899"
289,Amir Coffey,LAC,23,44,32,12,9.0,99.9,101.1,-1.2,9.0,1.47,14.0,2.3,8.1,5.2,9.6,54.9,58.5,14.5,99.76,7.0,812
290,Bogdan Bogdanovic,ATL,28,44,30,14,29.7,114.9,111.0,3.9,16.9,2.72,18.7,1.6,10.4,6.1,6.9,60.2,61.6,21.0,99.59,11.0,"2,710"
291,Gordon Hayward,CHA,31,44,24,20,34.0,111.0,110.3,0.7,18.9,1.99,17.9,2.4,14.3,8.3,9.0,53.7,58.4,23.5,100.83,12.4,"3,142"
292,Ish Smith,WAS,32,44,23,21,21.0,111.0,108.7,2.3,24.2,4.20,32.8,2.2,13.1,7.6,7.8,46.5,47.3,15.5,104.87,9.3,"2,020"
293,JJ Redick,DAL,36,44,22,22,16.4,109.3,110.6,-1.3,9.8,1.42,13.7,0.6,8.2,4.4,9.7,52.1,56.4,18.4,102.32,6.7,"1,552"
294,James Harden,BKN,31,44,31,13,36.6,117.2,114.3,2.9,44.2,2.68,31.2,2.3,19.1,11.1,11.6,54.8,61.8,28.3,99.78,17.4,"3,347"
295,Ryan Arcidiacono,CHI,27,44,20,24,10.2,104.0,104.0,0.0,17.6,5.60,29.3,1.1,13.5,7.4,5.2,52.6,54.1,12.8,99.21,7.8,936
296,John Konchar,MEM,25,43,23,20,13.4,110.6,108.6,2.1,11.1,2.61,21.6,5.7,16.1,10.7,8.3,57.6,60.8,12.4,100.85,9.8,"1,204"
297,Kemba Walker,BOS,31,43,22,21,31.8,114.5,111.4,3.1,23.3,2.41,20.5,1.2,11.3,6.2,8.5,51.4,55.9,25.6,99.45,12.3,"2,839"
298,Kristaps Porzingis,DAL,25,43,26,17,30.9,116.0,115.3,0.7,8.1,1.33,7.9,6.2,21.9,14.1,5.9,54.7,58.2,25.9,98.93,13.5,"2,729"
299,Marvin Bagley III,SAC,22,43,20,23,25.9,112.8,116.5,-3.7,5.7,0.73,6.6,9.2,18.8,14.0,9.0,54.2,55.4,22.9,101.26,9.9,"2,345"
300,Moses Brown,OKC,21,43,8,35,21.4,98.1,116.4,-18.3,1.7,0.23,2.7,14.3,23.8,18.8,11.4,54.5,57.2,15.7,104.74,11.4,"2,010"
301,OG Anunoby,TOR,23,43,18,25,33.3,112.4,109.1,3.3,9.8,1.25,12.8,3.7,12.5,8.1,10.2,58.0,60.5,19.3,99.90,9.9,"2,992"
302,D'Angelo Russell,MIN,25,42,16,26,28.5,109.7,116.8,-7.0,32.3,2.18,22.8,1.2,7.7,4.4,10.4,52.3,55.5,28.3,104.18,11.4,"2,591"
303,Evan Fournier,BOS,28,42,18,24,30.0,111.6,113.0,-1.4,17.0,1.97,17.8,0.7,9.4,4.9,9.0,56.5,59.8,22.2,101.83,9.8,"2,672"
304,Jaylen Nowell,MIN,21,42,10,32,18.1,104.5,111.1,-6.6,13.0,2.21,13.9,2.2,9.8,5.8,6.3,49.9,52.8,20.6,103.74,8.1,"1,645"
