,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
53,Kyle Kuzma,LAL,25,68,40,28,28.7,104.8,105.4,-0.6,10.0,1.12,12.2,5.4,15.7,10.5,10.9,53.3,54.6,19.8,99.72,9.7,"4,070"
54,Patty Mills,SAS,32,68,31,37,24.8,107.8,106.4,1.4,14.2,2.45,18.7,1.0,5.3,3.2,7.6,54.4,57.0,17.7,101.97,7.9,"3,568"
55,Ricky Rubio,MIN,30,68,23,45,26.1,109.3,114.3,-5.0,33.0,3.90,39.2,1.4,11.0,6.0,10.0,45.4,51.6,15.5,103.33,9.8,"3,816"
56,Thaddeus Young,CHI,32,68,30,38,24.3,114.2,110.1,4.1,25.3,2.12,25.7,10.5,15.4,13.0,12.1,56.8,57.8,21.6,100.03,12.8,"3,445"
57,Damian Lillard,POR,30,67,39,28,35.8,119.6,115.6,4.0,33.4,2.49,22.5,1.2,10.4,5.7,9.0,55.4,62.3,30.6,100.40,15.8,"5,014"
58,Dejounte Murray,SAS,24,67,32,35,31.9,111.8,109.5,2.3,24.6,3.10,24.0,2.6,19.0,10.8,7.7,48.5,50.9,23.1,100.02,12.4,"4,452"
59,Devin Booker,PHX,24,67,48,19,33.9,118.6,111.4,7.2,20.0,1.40,14.9,1.6,10.8,6.4,10.6,53.3,58.7,31.9,98.50,12.5,"4,656"
60,Dillon Brooks,MEM,25,67,36,31,29.8,113.9,109.4,4.5,11.2,1.32,11.3,2.6,6.9,4.7,8.6,48.1,51.5,25.6,102.16,6.6,"4,233"
61,Isaac Okoro,CLE,20,67,20,47,32.4,104.6,113.4,-8.7,8.6,1.49,15.2,3.1,6.6,4.8,10.2,47.6,51.4,14.2,98.07,4.4,"4,431"
62,Joe Ingles,UTA,33,67,47,20,27.9,116.7,104.9,11.8,23.8,2.72,30.7,1.4,10.8,6.3,11.3,65.2,67.2,16.2,101.08,11.2,"3,926"
63,Kent Bazemore,GSW,31,67,35,32,19.9,110.5,104.6,5.9,10.8,1.32,17.5,1.9,14.0,8.1,13.3,54.5,56.4,15.9,103.77,7.5,"2,881"
64,Kentavious Caldwell-Pope,LAL,28,67,39,28,28.4,110.5,107.3,3.3,9.1,1.92,17.2,1.5,8.1,4.8,8.9,54.9,58.8,13.9,99.50,7.0,"3,947"
65,Khem Birch,TOR,28,67,23,44,22.8,106.1,109.7,-3.6,8.5,2.02,15.6,10.1,13.8,11.9,7.7,51.4,55.2,13.3,99.71,8.9,"3,171"
66,Nicolas Batum,LAC,32,67,44,23,27.4,117.1,108.2,8.9,10.5,2.79,23.3,2.9,14.3,8.8,8.3,59.7,61.7,11.6,98.52,8.8,"3,768"
67,Reggie Jackson,LAC,31,67,43,24,23.0,116.7,109.3,7.4,18.5,2.77,22.8,1.6,10.7,6.3,8.2,55.4,57.6,19.5,99.08,9.1,"3,192"
68,Terance Mann,LAC,24,67,45,22,18.9,112.4,109.7,2.7,11.4,2.60,19.4,4.4,14.0,9.3,7.5,56.3,60.3,14.4,99.93,9.1,"2,612"
69,Aaron Holiday,IND,24,66,30,36,17.8,110.1,110.3,-0.2,13.9,1.86,18.5,1.2,6.0,3.6,9.9,46.7,50.3,18.9,104.34,5.7,"2,560"
70,Bismack Biyombo,CHA,28,66,28,38,20.4,102.8,111.7,-8.9,8.7,1.14,18.5,9.4,15.0,12.1,16.2,58.7,57.4,11.3,99.47,6.8,"2,782"
71,Bobby Portis,MIL,26,66,44,22,20.8,113.4,108.3,5.1,7.5,1.27,9.4,8.5,22.9,15.8,7.4,58.5,59.8,20.2,104.72,13.3,"2,986"
72,Donte DiVincenzo,MIL,24,66,44,22,27.5,117.3,109.1,8.1,13.7,2.23,21.9,4.3,15.5,10.0,9.8,52.8,54.2,16.3,104.77,8.7,"3,953"
73,Doug McDermott,IND,29,66,32,34,24.5,110.5,112.3,-1.8,7.5,1.60,10.1,3.6,9.6,6.6,6.3,61.6,63.5,19.4,103.70,9.6,"3,505"
74,Kenrich Williams,OKC,26,66,21,45,21.6,104.8,111.1,-6.3,15.3,2.00,22.8,5.6,12.9,9.2,11.4,59.6,59.9,14.8,103.22,9.0,"3,073"
75,Lou Williams,ATL,34,66,44,22,21.6,112.3,110.6,1.8,23.3,2.08,21.4,1.5,8.0,4.8,10.3,46.4,51.9,24.4,101.69,9.6,"3,025"
76,Luka Doncic,DAL,22,66,40,26,34.3,116.6,112.7,3.9,42.5,2.02,23.6,2.4,20.2,11.5,11.7,55.0,58.7,35.0,99.40,17.9,"4,676"
77,Miles Bridges,CHA,23,66,31,35,29.3,110.4,110.1,0.3,11.3,1.39,15.9,4.1,15.8,10.0,11.5,59.6,62.5,17.0,100.77,10.3,"4,047"
78,Payton Pritchard,BOS,23,66,33,33,19.2,111.2,110.6,0.6,13.6,2.26,19.6,2.5,9.9,6.1,8.7,56.2,58.2,16.2,99.38,8.2,"2,636"
79,Svi Mykhailiuk,OKC,23,66,13,53,20.1,103.8,112.0,-8.2,12.7,1.25,15.2,1.7,10.4,5.9,12.2,51.5,52.9,19.0,102.27,7.7,"2,823"
