,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
501,BKN vs. CHA,04/16/2021,,W,48,130,47,85,55.3,21,41,51.2,15,16,93.8,7,30,37,35,18,12,5,17,15,IND @ UTA,04/16/2021,,L,48,104.7,112.3,-7.5,56.1,2.30,15.8,26.6,70.8,45.5,9.4,45.2,49.3,106.00,45.1
502,LAC @ PHI,04/16/2021,,L,48,103,37,82,45.1,19,39,48.7,10,16,62.5,8,35,43,26,19,6,3,26,-3,UTA vs. IND,04/16/2021,,W,48,112.3,104.7,7.5,52.4,1.05,15.5,29.2,73.4,54.5,19.8,57.5,61.0,106.00,54.9
503,OKC @ DET,04/16/2021,,L,48,104,39,97,40.2,7,39,17.9,19,26,73.1,18,38,56,19,22,13,8,23,-6,MEM @ CHI,04/16/2021,,W,48,128.6,118.6,10.0,73.3,5.50,23.9,19.0,68.5,46.9,6.1,62.2,65.2,97.50,56.9
504,SAS vs. POR,04/16/2021,,L,48,106,45,95,47.4,7,23,30.4,9,10,90.0,14,35,49,30,14,7,9,14,-1,BKN vs. CHA,04/16/2021,,W,48,127.5,112.7,14.7,74.5,1.94,24.1,20.5,73.8,48.1,17.6,67.6,70.6,102.00,56.6
505,HOU vs. DEN,04/16/2021,,L,48,99,38,86,44.2,11,35,31.4,12,18,66.7,8,27,35,23,14,7,3,19,-29,NOP @ WAS,04/16/2021,,L,53,100.0,100.9,-0.9,65.0,1.63,16.8,25.4,81.8,52.6,13.9,44.8,51.6,104.60,52.2
506,WAS vs. NOP,04/16/2021,,W,53,117,45,96,46.9,4,27,14.8,23,32,71.9,3,43,46,24,13,5,7,24,2,MIA @ MIN,04/16/2021,,L,48,113.3,120.2,-6.9,84.6,2.36,23.7,17.8,60.0,38.9,14.3,57.5,60.7,98.50,47.5
507,POR @ SAS,04/16/2021,,W,48,107,41,89,46.1,11,29,37.9,14,16,87.5,9,29,38,23,11,9,6,12,1,PHI vs. LAC,04/16/2021,,W,48,111.6,108.4,3.2,60.0,1.62,15.9,30.8,74.0,52.0,13.7,50.6,55.1,95.00,54.7
508,NOP @ WAS,04/16/2021,,L,53,115,40,97,41.2,7,28,25.0,28,33,84.8,11,45,56,26,16,11,7,22,-2,OKC @ DET,04/16/2021,,L,48,96.3,100.9,-4.6,48.7,0.86,12.8,35.5,69.6,51.7,20.4,43.8,48.0,108.50,45.8
509,PHI vs. LAC,04/16/2021,,W,48,106,35,83,42.2,14,44,31.8,22,30,73.3,11,35,46,21,13,13,7,19,3,HOU vs. DEN,04/16/2021,,L,48,101.0,130.6,-29.6,60.5,1.64,17.4,23.1,59.2,40.6,14.3,50.6,52.7,98.00,36.2
510,CLE vs. GSW,04/15/2021,,L,48,101,35,81,43.2,10,31,32.3,21,27,77.8,8,31,39,21,15,11,2,20,-18,CLE vs. GSW,04/15/2021,,L,48,102.0,117.8,-15.8,60.0,1.40,16.3,18.8,70.2,44.2,15.2,49.4,54.4,100.00,40.8
511,LAL vs. BOS,04/15/2021,,L,48,113,44,98,44.9,12,37,32.4,13,19,68.4,11,25,36,28,8,12,2,16,-8,LAL vs. BOS,04/15/2021,,L,48,111.9,118.6,-6.7,63.6,3.50,19.6,23.7,71.8,42.9,7.9,51.0,53.1,101.50,44.5
512,BOS @ LAL,04/15/2021,,W,48,121,48,85,56.5,14,32,43.8,11,13,84.6,7,41,48,33,21,4,6,20,8,ATL vs. MIL,04/15/2021,,L,48,113.5,122.4,-8.9,59.0,1.92,17.8,20.8,67.3,45.0,12.5,53.5,57.8,97.00,45.3
513,PHX vs. SAC,04/15/2021,,W,48,122,48,86,55.8,14,38,36.8,12,14,85.7,10,29,39,30,11,9,4,18,8,GSW @ CLE,04/15/2021,,W,48,117.8,102.0,15.8,70.2,2.06,22.6,29.8,81.3,55.8,15.8,60.3,61.7,100.00,59.2
514,ATL vs. MIL,04/15/2021,,L,48,109,39,86,45.3,14,34,41.2,17,19,89.5,8,31,39,23,12,5,4,15,-11,MIL @ ATL,04/15/2021,,W,48,122.4,113.5,8.9,54.3,2.78,18.0,32.7,79.2,55.0,9.2,56.8,58.5,97.00,54.7
515,MIL @ ATL,04/15/2021,,W,48,120,46,95,48.4,16,43,37.2,12,17,70.6,14,37,51,25,9,8,1,16,11,PHX vs. SAC,04/15/2021,,W,48,128.4,120.0,8.4,62.5,2.73,22.1,28.2,81.6,54.5,11.6,64.0,66.2,95.00,55.2
516,SAC @ PHX,04/15/2021,,L,48,114,43,78,55.1,14,30,46.7,14,19,73.7,4,28,32,22,15,7,4,16,-8,SAC @ PHX,04/15/2021,,L,48,120.0,128.4,-8.4,51.2,1.47,17.7,18.4,71.8,45.5,15.8,64.1,66.0,95.00,44.8
517,GSW @ CLE,04/15/2021,,W,48,119,47,92,51.1,17,46,37.0,8,10,80.0,9,38,47,33,16,9,5,24,18,BOS @ LAL,04/15/2021,,W,48,118.6,111.9,6.7,68.8,1.57,22.6,28.2,76.3,57.1,20.6,64.7,66.7,101.50,55.5
518,PHI vs. BKN,04/14/2021,,W,48,123,45,87,51.7,13,28,46.4,20,25,80.0,4,28,32,23,10,8,9,21,6,DAL @ MEM,04/14/2021,,W,48,117.5,118.9,-1.4,56.8,2.27,18.8,25.0,76.5,51.5,11.3,57.4,59.7,96.00,49.9
519,LAC @ DET,04/14/2021,,W,48,100,37,93,39.8,7,29,24.1,19,21,90.5,15,32,47,10,11,8,2,20,2,LAC @ DET,04/14/2021,,W,48,104.2,102.1,2.1,27.0,0.91,8.1,31.6,70.6,50.0,11.5,43.5,48.9,96.00,48.9
520,WAS @ SAC,04/14/2021,,W,48,123,47,90,52.2,7,24,29.2,22,27,81.5,14,42,56,23,26,12,3,18,12,MIN vs. MIL,04/14/2021,,L,48,93.8,116.1,-22.3,64.7,1.38,15.1,20.6,73.6,44.8,14.3,45.1,49.7,112.00,40.0
521,MIN vs. MIL,04/14/2021,,L,48,105,34,92,37.0,15,41,36.6,22,31,71.0,10,37,47,22,16,13,7,17,-25,ORL @ CHI,04/14/2021,,W,48,125.0,115.2,9.8,65.9,4.14,21.3,30.6,77.3,52.7,7.6,56.2,58.8,92.00,55.3
522,ORL @ CHI,04/14/2021,,W,48,115,44,89,49.4,12,27,44.4,15,20,75.0,13,33,46,29,7,8,10,15,9,OKC vs. GSW,04/14/2021,,L,48,101.9,138.7,-36.8,50.0,1.05,14.9,37.7,77.8,56.1,19.6,51.6,52.9,106.50,33.1
523,BKN @ PHI,04/14/2021,,L,48,117,43,83,51.8,4,21,19.0,27,30,90.0,11,32,43,23,16,6,3,21,-6,MEM vs. DAL,04/14/2021,,L,48,118.9,117.5,1.4,64.3,3.86,20.1,23.5,75.0,48.5,7.4,53.9,56.9,96.00,50.1
524,GSW @ OKC,04/14/2021,,W,48,147,52,95,54.7,24,47,51.1,19,23,82.6,9,32,41,39,14,12,6,20,38,WAS @ SAC,04/14/2021,,W,48,110.8,100.0,10.8,48.9,0.88,15.1,40.0,82.7,62.9,23.4,56.1,60.4,111.00,57.1
525,MIL @ MIN,04/14/2021,,W,48,130,46,98,46.9,19,40,47.5,19,23,82.6,7,45,52,26,16,14,4,20,25,SAS @ TOR,04/14/2021,,L,48,110.9,115.8,-5.0,68.4,2.00,18.6,24.6,64.6,42.9,12.9,52.2,55.5,101.00,45.4
526,CLE @ CHA,04/14/2021,,W,48,103,37,76,48.7,13,31,41.9,16,19,84.2,9,38,47,27,16,9,7,11,13,IND @ HOU,04/14/2021,,W,48,123.4,114.8,8.5,56.0,1.56,18.8,29.8,63.8,48.6,16.8,61.2,63.7,107.50,55.1
527,NYK @ NOP,04/14/2021,,W,48,116,44,97,45.4,17,33,51.5,11,13,84.6,11,37,48,19,6,6,5,17,10,HOU vs. IND,04/14/2021,,L,48,114.8,123.4,-8.5,45.8,1.47,14.7,36.2,70.2,51.4,13.9,51.0,54.5,107.50,44.9
528,SAS @ TOR,04/14/2021,,L,48,112,38,89,42.7,17,39,43.6,19,27,70.4,12,29,41,26,13,6,7,19,-5,CHI vs. ORL,04/14/2021,,L,48,115.2,125.0,-9.8,56.1,1.92,18.5,22.7,69.4,47.3,13.0,57.6,58.9,92.00,44.7
529,CHI vs. ORL,04/14/2021,,L,48,106,41,86,47.7,17,37,45.9,7,9,77.8,7,33,40,23,12,7,6,16,-9,MIL @ MIN,04/14/2021,,W,48,116.1,93.8,22.3,56.5,1.63,17.2,26.4,79.4,55.2,14.3,56.6,60.1,112.00,60.0
530,MEM vs. DAL,04/14/2021,,L,48,113,42,90,46.7,13,34,38.2,16,21,76.2,11,34,45,27,7,7,3,18,-1,BKN @ PHI,04/14/2021,,L,48,114.7,119.4,-4.7,53.5,1.44,16.8,28.6,79.1,54.1,15.7,54.2,60.8,102.50,48.7
531,DET vs. LAC,04/14/2021,,L,48,98,37,85,43.5,7,24,29.2,17,22,77.3,11,35,46,17,16,5,4,21,-2,CHA vs. CLE,04/14/2021,,L,48,98.9,114.4,-15.5,67.6,1.77,18.3,24.1,75.6,46.3,14.3,50.0,50.4,90.50,37.5
532,DEN vs. MIA,04/14/2021,,W,48,123,48,89,53.9,17,36,47.2,10,13,76.9,11,32,43,32,11,5,7,19,17,DET vs. LAC,04/14/2021,,L,48,102.1,104.2,-2.1,45.9,1.06,13.4,29.4,68.4,50.0,16.7,47.6,51.8,96.00,51.1
533,OKC vs. GSW,04/14/2021,,L,48,109,44,92,47.8,7,27,25.9,14,25,56.0,17,33,50,22,21,6,2,22,-38,MIA @ DEN,04/14/2021,,L,48,116.5,136.7,-20.2,74.4,3.63,23.0,14.3,61.9,38.1,8.8,57.6,61.0,90.50,46.4
534,MIA @ DEN,04/14/2021,,L,48,106,39,79,49.4,13,32,40.6,15,18,83.3,4,26,30,29,8,7,8,13,-17,NOP vs. NYK,04/14/2021,,L,48,110.4,119.6,-9.2,62.5,2.78,18.9,22.0,76.4,50.5,9.4,48.9,53.8,96.50,50.0
535,IND @ HOU,04/14/2021,,W,48,132,50,94,53.2,15,36,41.7,17,22,77.3,11,37,48,28,18,10,6,16,8,SAC vs. WAS,04/14/2021,,L,48,100.0,110.8,-10.8,52.4,1.29,15.5,17.3,60.0,37.1,15.3,51.1,54.6,111.00,42.9
536,DAL @ MEM,04/14/2021,,W,48,114,44,88,50.0,13,40,32.5,13,17,76.5,8,37,45,25,11,4,3,17,1,NYK @ NOP,04/14/2021,,W,48,119.6,110.4,9.2,43.2,3.17,14.7,23.6,78.0,49.5,6.2,54.1,56.5,96.50,50.0
537,SAC vs. WAS,04/14/2021,,L,48,111,42,91,46.2,9,27,33.3,18,24,75.0,5,25,30,22,17,17,8,22,-12,TOR vs. SAS,04/14/2021,,W,48,115.8,110.9,5.0,51.2,1.31,15.2,35.4,75.4,57.1,15.8,54.5,59.1,101.00,54.6
538,NOP vs. NYK,04/14/2021,,L,48,106,40,88,45.5,6,28,21.4,20,24,83.3,9,40,49,25,9,3,5,12,-10,PHI vs. BKN,04/14/2021,,W,48,119.4,114.7,4.7,51.1,2.30,17.0,20.9,71.4,45.9,9.7,59.2,62.8,102.50,51.3
539,HOU vs. IND,04/14/2021,,L,48,124,48,104,46.2,10,34,29.4,18,22,81.8,16,31,47,22,15,12,6,17,-8,CLE @ CHA,04/14/2021,,W,48,114.4,98.9,15.5,73.0,1.69,21.3,24.4,75.9,53.7,17.8,57.2,61.0,90.50,62.5
540,TOR vs. SAS,04/14/2021,,W,48,117,41,88,46.6,14,30,46.7,21,25,84.0,13,41,54,21,16,8,5,19,5,DEN vs. MIA,04/14/2021,,W,48,136.7,116.5,20.2,66.7,2.91,23.2,38.1,85.7,61.9,12.2,63.5,64.9,90.50,53.6
541,CHA vs. CLE,04/14/2021,,L,48,90,34,84,40.5,16,44,36.4,6,12,50.0,10,28,38,23,13,8,5,18,-13,GSW @ OKC,04/14/2021,,W,48,138.7,101.9,36.8,75.0,2.79,25.2,22.2,62.3,43.9,13.2,67.4,69.9,106.50,66.9
542,PHX vs. MIA,04/13/2021,,W,48,106,38,82,46.3,13,42,31.0,17,18,94.4,9,39,48,28,21,11,2,18,20,CHA vs. LAL,04/13/2021,,L,48,103.3,111.0,-7.7,61.1,1.22,17.1,33.3,75.5,54.0,20.0,48.8,51.1,90.50,44.0
543,MIN vs. BKN,04/13/2021,,L,48,97,30,87,34.5,13,49,26.5,24,33,72.7,11,33,44,16,14,13,12,20,-30,MIA @ PHX,04/13/2021,,L,48,86.9,109.3,-22.4,77.4,1.33,17.6,25.0,68.2,44.8,18.2,43.3,47.6,98.00,37.4
544,TOR vs. ATL,04/13/2021,,L,48,103,42,88,47.7,10,39,25.6,9,13,69.2,6,36,42,16,13,7,4,19,-5,PHX vs. MIA,04/13/2021,,W,48,109.3,86.9,22.4,73.7,1.33,20.1,31.8,75.0,55.2,21.6,54.3,58.9,98.00,62.6
545,LAL @ CHA,04/13/2021,,W,48,101,34,82,41.5,16,44,36.4,17,18,94.4,8,30,38,24,11,9,2,18,8,BKN @ MIN,04/13/2021,,W,48,121.0,91.5,29.4,67.4,1.63,20.7,31.3,77.0,56.9,18.1,58.8,62.5,105.50,64.8
546,BOS @ POR,04/13/2021,,W,48,116,42,90,46.7,15,35,42.9,17,24,70.8,9,37,46,30,10,5,4,19,1,UTA vs. OKC,04/13/2021,,W,48,108.2,99.0,9.2,66.7,1.71,17.8,27.5,68.9,50.0,14.3,51.7,55.9,97.50,63.6
547,UTA vs. OKC,04/13/2021,,W,48,106,36,86,41.9,17,47,36.2,17,20,85.0,11,40,51,24,14,6,10,18,10,OKC @ UTA,04/13/2021,,L,48,99.0,108.2,-9.2,36.1,0.93,10.2,31.1,72.5,50.0,14.4,46.2,47.6,97.50,36.4
548,OKC @ UTA,04/13/2021,,L,48,96,36,93,38.7,14,34,41.2,10,18,55.6,15,35,50,13,14,8,1,23,-10,IND vs. LAC,04/13/2021,,L,48,107.5,115.6,-8.1,31.8,1.17,10.6,20.0,82.9,46.9,11.2,50.5,54.4,108.00,39.8
549,BKN @ MIN,04/13/2021,,W,48,127,46,91,50.5,15,36,41.7,20,24,83.3,11,46,57,31,19,8,4,22,30,LAC @ IND,04/13/2021,,W,48,115.6,107.5,8.1,70.8,2.43,22.7,17.1,80.0,53.1,12.8,61.2,64.7,108.00,60.2
550,IND vs. LAC,04/13/2021,,L,48,115,44,96,45.8,9,40,22.5,18,22,81.8,9,33,42,14,12,9,5,17,-11,MIN vs. BKN,04/13/2021,,L,48,91.5,121.0,-29.4,53.3,1.14,11.8,23.0,68.8,43.1,13.2,42.0,47.8,105.50,35.3
551,POR vs. BOS,04/13/2021,,L,48,115,43,90,47.8,17,43,39.5,12,17,70.6,8,38,46,31,14,6,5,22,-1,ATL @ TOR,04/13/2021,,W,48,109.1,105.1,4.0,52.5,1.50,16.2,23.4,80.9,52.1,14.1,55.4,57.6,98.50,51.7
552,MIA @ PHX,04/13/2021,,L,48,86,31,82,37.8,9,44,20.5,15,19,78.9,8,28,36,24,18,13,2,20,-20,BOS @ POR,04/13/2021,,W,48,117.2,115.0,2.2,71.4,3.00,21.3,25.0,72.5,48.5,10.1,55.0,57.7,99.50,50.5
553,LAC @ IND,04/13/2021,,W,48,126,48,89,53.9,13,28,46.4,17,19,89.5,6,42,48,34,14,10,5,20,11,POR vs. BOS,04/13/2021,,L,48,115.0,117.2,-2.2,72.1,2.21,21.7,27.5,75.0,51.5,14.0,57.2,59.0,99.50,49.5
554,CHA vs. LAL,04/13/2021,,L,48,93,36,83,43.4,9,35,25.7,12,18,66.7,12,33,45,22,18,5,3,18,-8,LAL @ CHA,04/13/2021,,W,48,111.0,103.3,7.7,70.6,2.18,19.2,24.5,66.7,46.0,12.1,51.2,56.2,90.50,56.0
555,ATL @ TOR,04/13/2021,,W,48,108,40,84,47.6,13,30,43.3,15,22,68.2,8,31,39,21,14,7,2,16,5,TOR vs. ATL,04/13/2021,,L,48,105.1,109.1,-4.0,38.1,1.23,13.0,19.1,76.6,47.9,13.3,53.4,55.0,98.50,48.3
556,PHX vs. HOU,04/12/2021,,W,48,126,45,94,47.9,25,45,55.6,11,18,61.1,12,30,42,33,14,14,3,18,6,LAL @ NYK,04/12/2021,,L,48,96.0,111.0,-15.0,62.9,0.88,16.3,27.7,65.3,46.9,25.0,51.3,54.6,100.00,38.5
557,UTA vs. WAS,04/12/2021,,L,48,121,41,85,48.2,15,36,41.7,24,31,77.4,9,34,43,21,14,2,3,23,-4,UTA vs. WAS,04/12/2021,,L,48,117.5,119.0,-1.6,51.2,1.50,15.4,24.0,80.0,50.5,13.6,57.1,61.3,104.00,44.7
558,SAS @ ORL,04/12/2021,,W,48,120,48,93,51.6,10,25,40.0,14,18,77.8,12,35,47,30,9,6,5,26,23,NOP vs. SAC,04/12/2021,,W,48,110.4,101.9,8.5,57.1,1.04,17.1,26.2,80.4,57.1,21.7,58.4,62.1,107.00,58.5
559,GSW vs. DEN,04/12/2021,,W,48,116,39,81,48.1,18,44,40.9,20,22,90.9,4,32,36,23,16,11,3,22,9,ORL vs. SAS,04/12/2021,,L,48,100.0,123.7,-23.7,41.7,1.00,12.1,26.5,70.8,48.5,15.5,48.1,51.6,97.00,37.6
560,SAC @ NOP,04/12/2021,,L,48,110,39,90,43.3,10,35,28.6,22,37,59.5,8,26,34,21,10,14,3,26,-7,PHI @ DAL,04/12/2021,,W,48,117.7,99.0,18.8,61.5,2.67,18.5,21.3,73.5,47.9,9.4,56.3,59.8,96.00,60.3
561,DAL vs. PHI,04/12/2021,,L,48,95,35,83,42.2,9,36,25.0,16,20,80.0,11,35,46,16,15,7,3,24,-18,MEM vs. CHI,04/12/2021,,W,48,101.0,89.1,11.9,67.5,1.35,19.4,26.7,78.8,54.6,20.0,52.4,55.4,100.50,57.7
562,ORL vs. SAS,04/12/2021,,L,48,97,36,80,45.0,5,20,25.0,20,32,62.5,11,33,44,15,15,6,2,17,-23,SAC @ NOP,04/12/2021,,L,48,101.9,110.4,-8.5,53.8,2.10,15.1,19.6,73.8,42.9,9.3,48.9,51.8,107.00,41.5
563,DEN @ GSW,04/12/2021,,L,48,107,39,83,47.0,8,26,30.8,21,25,84.0,10,31,41,23,20,11,2,24,-9,NYK vs. LAL,04/12/2021,,W,48,111.0,96.0,15.0,42.9,1.20,13.3,34.7,72.3,53.1,15.0,50.0,55.0,100.00,61.5
564,WAS @ UTA,04/12/2021,,W,48,125,47,90,52.2,9,19,47.4,22,28,78.6,8,36,44,29,8,7,4,27,4,GSW vs. DEN,04/12/2021,,W,48,111.5,104.9,6.6,59.0,1.44,17.2,16.3,73.3,45.5,15.4,59.3,64.0,103.00,54.6
565,HOU @ PHX,04/12/2021,,L,48,120,44,87,50.6,17,42,40.5,15,19,78.9,12,39,51,32,21,9,3,15,-6,PHX vs. HOU,04/12/2021,,W,48,121.2,115.4,5.8,73.3,2.36,22.0,24.1,70.2,45.5,13.5,61.2,61.8,104.00,49.6
566,NYK vs. LAL,04/12/2021,,W,48,111,42,89,47.2,5,27,18.5,22,27,81.5,15,32,47,18,15,14,9,20,15,DEN @ GSW,04/12/2021,,L,48,104.9,111.5,-6.6,59.0,1.15,16.8,26.7,83.7,54.5,19.6,51.8,56.9,103.00,45.4
567,MEM vs. CHI,04/12/2021,,W,48,101,40,85,47.1,9,28,32.1,12,14,85.7,10,41,51,27,20,7,7,20,11,HOU @ PHX,04/12/2021,,L,48,115.4,121.2,-5.8,72.7,1.52,21.3,29.8,75.9,54.5,20.2,60.3,62.9,104.00,50.4
568,NOP vs. SAC,04/12/2021,,W,48,117,42,77,54.5,6,19,31.6,27,39,69.2,9,42,51,24,23,8,5,23,7,CHI @ MEM,04/12/2021,,L,48,89.1,101.0,-11.9,63.9,1.35,17.2,21.2,73.3,45.4,16.8,44.8,48.1,100.50,42.3
569,LAL @ NYK,04/12/2021,,L,48,96,35,80,43.8,12,36,33.3,14,18,77.8,4,29,33,22,25,5,7,21,-15,SAS @ ORL,04/12/2021,,W,48,123.7,100.0,23.7,62.5,3.33,21.3,29.2,73.5,51.5,9.3,57.0,59.5,97.00,62.4
570,CHI @ MEM,04/12/2021,,L,48,90,36,86,41.9,5,31,16.1,13,17,76.5,8,32,40,23,17,8,3,16,-11,DAL vs. PHI,04/12/2021,,L,48,99.0,117.7,-18.8,45.7,1.07,12.8,26.5,78.7,52.1,15.6,47.6,51.7,96.00,39.7
571,PHI @ DAL,04/12/2021,,W,48,113,39,80,48.8,12,31,38.7,23,33,69.7,6,34,40,24,9,9,4,20,18,WAS @ UTA,04/12/2021,,W,48,119.0,117.5,1.6,61.7,3.63,20.4,20.0,76.0,49.5,7.6,57.2,61.1,104.00,55.3
572,CLE vs. NOP,04/11/2021,,L,48,109,41,85,48.2,13,40,32.5,14,17,82.4,9,27,36,29,17,7,5,23,-7,LAC vs. DET,04/11/2021,,W,48,136.5,127.8,8.6,70.0,2.06,24.5,38.7,69.8,56.8,17.7,71.9,73.4,96.50,54.0
573,MIA @ POR,04/11/2021,,W,48,107,41,83,49.4,12,29,41.4,13,20,65.0,6,24,30,21,8,12,4,18,9,MIL @ ORL,04/11/2021,,W,48,124.0,86.1,37.9,60.9,2.33,19.7,30.6,80.4,57.1,12.0,59.0,61.6,100.50,67.6
574,CHA vs. ATL,04/11/2021,,L,48,101,37,80,46.3,15,43,34.9,12,14,85.7,6,32,38,28,12,5,5,14,-4,ORL vs. MIL,04/11/2021,,L,48,86.1,124.0,-37.9,59.4,1.36,14.6,19.6,69.4,42.9,13.9,41.9,46.1,100.50,32.4
575,DET @ LAC,04/11/2021,,L,48,124,46,87,52.9,15,32,46.9,17,19,89.5,12,19,31,33,13,12,4,24,-7,CHA vs. ATL,04/11/2021,,L,48,111.0,115.4,-4.4,75.7,2.33,21.9,20.5,70.2,46.2,13.2,55.6,58.6,91.00,49.1
576,SAS @ DAL,04/11/2021,,W,48,119,45,83,54.2,8,21,38.1,21,27,77.8,10,31,41,20,15,10,7,20,2,DAL vs. SAS,04/11/2021,,L,48,119.4,122.7,-3.3,55.6,2.08,17.9,34.0,68.3,49.5,12.2,54.8,58.2,97.50,47.0
577,MIN vs. CHI,04/11/2021,,W,48,121,40,81,49.4,16,36,44.4,25,25,100,3,33,36,27,15,7,6,14,4,TOR @ NYK,04/11/2021,,L,48,99.0,104.1,-5.1,57.6,1.12,15.0,22.9,67.9,47.1,17.5,48.7,53.9,97.50,47.0
578,IND @ MEM,04/11/2021,,W,48,132,52,99,52.5,13,37,35.1,15,17,88.2,15,38,53,35,12,5,10,16,7,IND @ MEM,04/11/2021,,W,48,128.2,120.2,8.0,67.3,2.92,22.7,36.2,59.1,49.6,11.7,59.1,62.0,103.50,55.2
579,TOR @ NYK,04/11/2021,,L,48,96,33,79,41.8,11,34,32.4,19,23,82.6,5,35,40,19,17,8,7,23,-6,MEM vs. IND,04/11/2021,,L,48,120.2,128.2,-8.0,50.9,4.50,17.2,40.9,63.8,50.4,5.8,48.7,50.7,103.50,44.8
580,DEN vs. BOS,04/11/2021,,L,48,87,32,88,36.4,8,34,23.5,15,18,83.3,13,33,46,23,9,5,4,20,-18,SAS @ DAL,04/11/2021,,W,48,122.7,119.4,3.3,44.4,1.33,15.4,31.7,66.0,50.5,15.5,59.0,62.7,97.50,53.0
581,CHI @ MIN,04/11/2021,,L,48,117,47,92,51.1,15,38,39.5,8,13,61.5,8,30,38,30,14,10,8,19,-4,CLE vs. NOP,04/11/2021,,L,48,109.0,114.9,-5.9,70.7,1.71,21.0,19.6,66.7,42.9,17.0,55.9,58.9,100.50,43.3
582,NYK vs. TOR,04/11/2021,,W,48,102,35,88,39.8,9,35,25.7,23,27,85.2,11,35,46,19,13,9,4,19,6,POR vs. MIA,04/11/2021,,L,48,103.2,113.8,-10.7,56.8,1.24,16.8,26.8,82.2,55.8,17.9,55.2,57.4,94.50,47.3
583,ATL @ CHA,04/11/2021,,W,48,105,38,84,45.2,17,39,43.6,12,16,75.0,7,34,41,27,12,7,1,11,4,DEN vs. BOS,04/11/2021,,L,48,92.6,112.9,-20.4,71.9,2.56,17.7,22.8,71.4,45.3,9.6,40.9,45.4,93.50,40.8
584,MEM vs. IND,04/11/2021,,L,48,125,53,115,46.1,6,20,30.0,13,19,68.4,24,26,50,27,6,11,6,12,-7,MIN vs. CHI,04/11/2021,,W,48,123.5,118.2,5.3,67.5,1.80,20.0,24.4,72.0,50.5,15.3,59.3,65.8,98.50,52.2
585,ORL vs. MIL,04/11/2021,,L,48,87,32,86,37.2,8,36,22.2,15,19,78.9,7,30,37,19,14,8,6,13,-37,NOP @ CLE,04/11/2021,,W,48,114.9,109.0,5.9,68.2,1.88,20.7,33.3,80.4,57.1,15.8,55.2,59.5,100.50,56.7
586,BOS @ DEN,04/11/2021,,W,48,105,39,87,44.8,7,33,21.2,20,23,87.0,10,42,52,20,11,4,7,18,18,MIA @ POR,04/11/2021,,W,48,113.8,103.2,10.7,51.2,2.63,17.1,17.8,73.2,44.2,8.5,56.6,58.3,94.50,52.7
587,DAL vs. SAS,04/11/2021,,L,48,117,45,94,47.9,13,42,31.0,14,15,93.3,11,26,37,25,12,5,3,21,-2,ATL @ CHA,04/11/2021,,W,48,115.4,111.0,4.4,71.1,2.25,20.6,29.8,79.5,53.8,13.2,55.4,57.7,91.00,50.9
588,LAC vs. DET,04/11/2021,,W,48,131,50,80,62.5,15,27,55.6,16,21,76.2,7,30,37,35,17,4,5,18,7,BOS @ DEN,04/11/2021,,W,48,112.9,92.6,20.4,51.3,1.82,15.7,28.6,77.2,54.7,11.8,48.9,54.1,93.50,59.2
589,MIL @ ORL,04/11/2021,,W,48,124,46,94,48.9,19,40,47.5,13,15,86.7,12,44,56,28,12,8,7,15,37,NYK vs. TOR,04/11/2021,,W,48,104.1,99.0,5.1,54.3,1.46,14.1,32.1,77.1,52.9,13.3,44.9,51.1,97.50,53.0
590,POR vs. MIA,04/11/2021,,L,48,98,37,77,48.1,11,35,31.4,13,19,68.4,8,33,41,21,17,5,5,16,-9,DET @ LAC,04/11/2021,,L,48,127.8,136.5,-8.6,71.7,2.54,23.1,30.2,61.3,43.2,13.4,61.5,65.0,96.50,46.0
591,NOP @ CLE,04/11/2021,,W,48,116,44,86,51.2,7,24,29.2,21,26,80.8,14,36,50,30,16,9,3,16,7,CHI @ MIN,04/11/2021,,L,48,118.2,123.5,-5.3,63.8,2.14,21.1,28.0,75.6,49.5,14.1,59.2,59.9,98.50,47.8
592,UTA vs. SAC,04/10/2021,,W,48,128,40,88,45.5,18,50,36.0,30,35,85.7,11,41,52,22,10,8,5,17,16,WAS @ PHX,04/10/2021,,L,48,100.0,125.2,-25.2,69.2,1.69,19.3,14.9,82.7,50.5,15.1,51.8,55.0,106.50,39.9
593,SAC @ UTA,04/10/2021,,L,48,112,42,88,47.7,14,42,33.3,14,22,63.6,4,34,38,23,10,8,4,23,-16,CLE vs. TOR,04/10/2021,,L,48,112.7,128.6,-15.8,69.2,1.59,19.3,23.4,75.8,45.0,16.7,54.1,59.0,103.50,41.4
594,WAS @ PHX,04/10/2021,,L,48,106,39,84,46.4,9,25,36.0,19,28,67.9,7,42,49,27,16,2,1,12,-28,OKC vs. PHI,04/10/2021,,L,48,93.0,115.8,-22.8,55.3,0.91,16.3,19.0,69.6,48.0,23.0,55.3,55.1,100.50,38.0
