,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
20,HOU @ ATL,05/16/2021,,L,48,95,31,92,33.7,18,63,28.6,15,20,75.0,11,32,43,25,16,8,5,18,-29,NOP vs. LAL,05/16/2021,,L,48,99.0,110.0,-11.0,70.3,1.24,19.4,20.9,72.2,49.5,21.2,53.2,56.2,99.50,44.0
21,MIA @ DET,05/16/2021,,W,48,120,47,84,56.0,13,34,38.2,13,20,65.0,6,33,39,32,12,11,5,19,13,TOR vs. IND,05/16/2021,,L,48,107.6,117.9,-10.3,53.8,1.75,14.5,32.2,72.9,50.5,11.4,46.4,51.5,105.50,42.8
22,IND @ TOR,05/16/2021,,W,48,125,48,95,50.5,15,37,40.5,14,18,77.8,10,37,47,34,13,8,3,19,12,GSW vs. MEM,05/16/2021,,W,48,114.1,101.0,13.1,63.4,1.30,18.7,33.3,67.9,52.6,20.2,58.4,62.1,99.50,56.2
23,GSW vs. MEM,05/16/2021,,W,48,113,41,83,49.4,15,39,38.5,16,18,88.9,12,34,46,26,20,9,4,19,12,UTA @ SAC,05/16/2021,,W,48,119.8,97.1,22.7,68.3,1.75,19.9,25.5,85.7,56.3,15.8,58.1,62.4,101.50,59.7
24,LAL @ NOP,05/16/2021,,W,48,110,45,96,46.9,11,35,31.4,9,15,60.0,8,34,42,30,10,14,5,16,12,NYK vs. BOS,05/16/2021,,W,48,103.2,98.9,4.3,47.1,1.45,13.8,15.2,73.6,46.5,11.8,51.3,54.9,93.00,53.3
25,BKN vs. CLE,05/16/2021,,W,48,123,47,83,56.6,16,30,53.3,13,17,76.5,4,33,37,35,12,9,9,20,14,CLE @ BKN,05/16/2021,,L,48,110.1,125.5,-15.4,42.1,1.00,12.2,32.1,87.2,55.4,16.2,51.8,55.3,98.50,39.6
26,PHI vs. ORL,05/16/2021,,W,48,128,46,94,48.9,19,40,47.5,17,23,73.9,9,32,41,35,12,8,5,27,11,MIN vs. DAL,05/16/2021,,W,48,137.4,122.2,15.2,71.4,3.50,23.6,32.6,64.6,49.5,10.1,63.9,67.3,99.00,56.4
27,MIN vs. DAL,05/16/2021,,W,48,136,49,90,54.4,17,40,42.5,21,25,84.0,11,27,38,35,10,11,4,22,15,LAL @ NOP,05/16/2021,,W,48,110.0,99.0,11.0,66.7,3.00,20.8,27.8,79.1,50.5,10.0,52.6,53.6,99.50,56.0
28,POR vs. DEN,05/16/2021,,W,48,132,46,87,52.9,18,43,41.9,22,26,84.6,11,40,51,24,14,3,6,16,16,LAC @ OKC,05/16/2021,,L,48,112.0,118.2,-6.2,37.8,5.67,12.5,30.6,64.6,45.5,3.0,47.2,49.7,99.50,45.1
29,CHI vs. MIL,05/16/2021,,W,48,118,45,87,51.7,14,32,43.8,14,19,73.7,8,37,45,23,16,8,8,20,6,DET vs. MIA,05/16/2021,,L,48,110.3,122.4,-12.1,65.0,1.63,19.3,24.5,76.9,47.7,16.5,52.9,55.9,97.50,38.6
30,CHI @ BKN,05/15/2021,,L,48,91,34,98,34.7,11,41,26.8,12,17,70.6,19,33,52,24,9,7,4,13,-14,SAS vs. PHX,05/15/2021,,L,48,96.3,132.1,-35.8,59.0,1.44,16.7,19.6,81.4,47.9,15.0,46.6,52.3,106.50,34.8
31,MIL vs. MIA,05/15/2021,,W,48,122,46,86,53.5,13,35,37.1,17,24,70.8,5,43,48,29,11,4,3,15,14,PHX @ SAS,05/15/2021,,W,48,132.1,96.3,35.8,61.5,3.20,21.9,18.6,80.4,52.1,9.4,63.3,67.5,106.50,65.2
32,SAS vs. PHX,05/15/2021,,L,48,103,39,88,44.3,4,26,15.4,21,24,87.5,7,34,41,23,16,5,2,17,-37,NYK vs. CHA,05/15/2021,,W,53,119.2,110.1,9.1,64.4,2.90,21.3,17.8,65.7,46.4,10.1,60.2,62.4,89.66,57.5
33,MIN vs. BOS,05/15/2021,,L,48,108,39,95,41.1,5,37,13.5,25,34,73.5,20,31,51,22,13,8,7,19,-16,BOS @ MIN,05/15/2021,,W,48,120.4,105.9,14.5,58.7,1.80,18.6,34.7,65.0,51.4,14.6,57.9,60.2,102.50,56.2
34,CHA @ NYK,05/15/2021,,L,53,109,39,102,38.2,13,49,26.5,18,24,75.0,15,36,51,28,8,5,2,18,-9,CHA @ NYK,05/15/2021,,L,53,110.1,119.2,-9.1,71.8,3.50,18.7,34.3,82.2,53.6,8.1,44.6,48.4,89.66,42.5
35,MIA @ MIL,05/15/2021,,L,48,108,40,96,41.7,22,49,44.9,6,8,75.0,9,29,38,25,11,8,3,18,-14,IND vs. LAL,05/15/2021,,L,48,115.0,120.8,-5.8,60.9,2.15,20.1,23.4,64.6,44.2,13.0,56.7,59.1,100.50,48.4
36,BKN vs. CHI,05/15/2021,,W,48,105,41,87,47.1,14,34,41.2,9,15,60.0,8,44,52,26,10,6,8,16,14,LAL @ IND,05/15/2021,,W,48,120.8,115.0,5.8,61.0,1.92,17.5,35.4,76.6,55.8,12.9,54.1,59.9,100.50,51.6
37,BOS @ MIN,05/15/2021,,W,48,124,46,95,48.4,18,42,42.9,14,18,77.8,9,35,44,27,15,8,6,24,16,MIN vs. BOS,05/15/2021,,L,48,105.9,120.4,-14.5,56.4,1.69,15.2,35.0,65.3,48.6,12.7,43.7,49.1,102.50,43.8
38,IND vs. LAL,05/15/2021,,L,48,115,46,89,51.7,9,33,27.3,14,19,73.7,8,29,37,28,13,10,8,23,-7,MIA @ MIL,05/15/2021,,L,48,106.9,120.8,-13.9,62.5,2.27,18.4,19.6,84.1,48.0,10.9,53.1,54.3,101.00,40.8
39,NYK vs. CHA,05/15/2021,,W,53,118,45,88,51.1,16,37,43.2,12,15,80.0,7,43,50,29,10,3,7,20,9,CHI @ BKN,05/15/2021,,L,48,95.8,110.5,-14.7,70.6,2.67,17.1,30.9,77.6,50.4,9.5,40.3,43.1,95.00,40.5
40,LAL @ IND,05/15/2021,,W,48,122,41,86,47.7,11,29,37.9,29,36,80.6,11,34,45,25,13,5,3,15,7,MIL vs. MIA,05/15/2021,,W,48,120.8,106.9,13.9,63.0,2.64,21.2,15.9,80.4,52.0,10.9,61.0,63.2,101.00,59.2
41,PHX @ SAS,05/15/2021,,W,48,140,52,94,55.3,15,33,45.5,21,22,95.5,7,40,47,32,10,10,1,15,37,BKN vs. CHI,05/15/2021,,W,48,110.5,95.8,14.7,63.4,2.60,20.0,22.4,69.1,49.6,10.5,55.2,56.1,95.00,59.5
42,LAC @ HOU,05/14/2021,,L,48,115,45,93,48.4,11,35,31.4,14,15,93.3,7,28,35,29,14,9,5,15,-7,MEM vs. SAC,05/14/2021,,W,48,103.9,101.0,2.9,62.2,1.77,16.9,18.5,70.0,45.6,12.6,50.6,53.8,104.00,50.8
43,PHI vs. ORL,05/14/2021,,W,48,122,44,93,47.3,16,34,47.1,18,19,94.7,10,36,46,35,9,9,8,25,25,SAC @ MEM,05/14/2021,,L,48,101.0,103.9,-2.9,56.8,2.10,14.8,30.0,81.5,54.4,9.5,43.8,49.1,104.00,49.2
44,DEN @ DET,05/14/2021,,W,48,104,42,86,48.8,9,32,28.1,11,14,78.6,9,40,49,29,12,6,3,17,13,HOU vs. LAC,05/14/2021,,W,48,120.8,112.7,8.0,65.2,1.88,21.1,27.3,73.5,51.6,15.8,61.6,63.8,101.50,50.9
45,TOR @ DAL,05/14/2021,,L,48,110,42,85,49.4,13,38,34.2,13,17,76.5,4,40,44,19,12,7,5,18,-4,CLE @ WAS,05/14/2021,,L,48,102.9,120.0,-17.1,61.5,1.41,17.5,23.9,73.6,50.5,16.7,52.4,56.3,101.00,44.0
46,NOP @ GSW,05/14/2021,,L,48,122,46,99,46.5,11,27,40.7,19,28,67.9,12,39,51,21,9,6,3,23,-3,DET vs. DEN,05/14/2021,,L,48,97.8,110.6,-12.8,61.8,2.10,16.8,20.8,71.1,43.9,10.8,44.6,48.9,93.50,42.5
47,SAC @ MEM,05/14/2021,,L,48,106,37,96,38.5,10,42,23.8,22,27,81.5,14,42,56,21,10,7,2,21,-1,WAS vs. CLE,05/14/2021,,W,48,120.0,102.9,17.1,56.1,2.09,16.8,26.4,76.1,49.5,11.0,50.0,57.0,101.00,56.0
48,MEM vs. SAC,05/14/2021,,W,48,107,37,84,44.0,11,33,33.3,22,35,62.9,9,40,49,23,13,8,5,20,1,DAL vs. TOR,05/14/2021,,W,48,116.3,111.1,5.2,69.2,2.70,19.7,23.1,82.2,50.5,10.2,52.8,57.4,98.50,49.6
49,WAS vs. CLE,05/14/2021,,W,48,120,41,89,46.1,7,25,28.0,31,37,83.8,12,35,47,23,11,9,6,19,15,OKC vs. UTA,05/14/2021,,L,48,93.9,109.0,-15.1,36.1,0.76,10.7,20.8,68.5,46.1,17.2,46.4,51.1,99.50,39.9
