Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2016-10-25,away,New York,Cleveland,1610612752,0021600001,44.2,405.0,400,415,395,390.0,405.0,401.0,415.0,390.0,46.8,9.5,-110,9.5,-110,9.0,-110,9.0,-105,9.5,-115,9.5,-110,9.33,-110.0,9.5,9.0,-105,-115,48.4,198.5,-110,206.0,-105,206.0,-110,206.0,-105,206,-115,206.5,-110,204.83,-109.17,206.5,198.5,-105,-115,88.0,-29.0,L,205.0
2016-10-25,home,Cleveland,New York,1610612739,0021600001,55.8,-500.0,-470,-525,-520,-580.0,-500.0,-519.0,-470.0,-580.0,53.2,-9.5,-110,-9.5,-100,-9.0,-110,-9.0,-105,-9.5,-105,-9.5,-110,-9.33,-106.67,-9.0,-9.5,-100,-110,51.6,198.5,-110,206.0,-105,206.0,-110,206.0,-105,206,-105,206.5,-110,204.83,-107.5,206.5,198.5,-105,-110,117.0,29.0,W,205.0
2016-10-25,away,Utah,Portland,1610612762,0021600002,53.6,205.0,209,210,215,215.0,205.0,210.8,215.0,205.0,43.3,6.0,-105,6.0,-106,5.5,-102,6.0,-105,6.5,-110,6.0,-110,6.0,-106.33,6.5,5.5,-102,-110,55.1,192.0,-110,192.5,-107,192.0,-117,192.5,-105,192,-115,192.0,-115,192.17,-111.5,192.5,192.0,-105,-117,104.0,-9.0,L,217.0
2016-10-25,home,Portland,Utah,1610612757,0021600002,46.4,-245.0,-234,-250,-255,-255.0,-245.0,-247.8,-234.0,-255.0,56.7,-6.0,-115,-6.0,-104,-5.5,-118,-6.0,-105,-6.5,-110,-6.0,-110,-6.0,-110.33,-5.5,-6.5,-104,-118,44.9,192.0,-110,192.5,-103,192.0,-103,192.5,-105,192,-105,192.0,-105,192.17,-105.17,192.5,192.0,-103,-110,113.0,9.0,W,217.0
2016-10-25,away,San Antonio,Golden State,1610612759,0021600003,42.1,330.0,334,325,320,335.0,335.0,329.8,335.0,320.0,37.9,8.0,-105,8.5,-110,7.5,-102,8.5,-105,9.0,-105,8.0,-107,8.25,-105.67,9.0,7.5,-102,-110,55.8,211.0,-110,211.5,-109,211.0,-117,212.0,-105,213,-110,211.5,-112,211.67,-110.5,213.0,211.0,-105,-117,129.0,29.0,W,229.0
2016-10-25,home,Golden State,San Antonio,1610612744,0021600003,57.9,-400.0,-385,-400,-400,-470.0,-405.0,-412.0,-385.0,-470.0,62.1,-8.0,-115,-8.5,-100,-7.5,-118,-8.5,-105,-9.0,-115,-8.0,-113,-8.25,-111.0,-7.5,-9.0,-100,-118,44.2,211.0,-110,211.5,-101,211.0,-103,212.0,-105,213,-110,211.5,-108,211.67,-106.17,213.0,211.0,-101,-110,100.0,-29.0,L,229.0
2016-10-26,away,Miami,Orlando,1610612748,0021600004,55.6,155.0,137,135,135,130.0,135.0,134.4,137.0,130.0,47.3,4.0,-110,3.0,-105,3.0,-110,3.0,-105,3.5,-115,3.0,-110,3.25,-109.17,4.0,3.0,-105,-115,0.0,204.0,-110,199.0,-104,199.0,-110,199.0,-105,199,-110,199.0,-110,199.83,-108.17,204.0,199.0,-104,-110,108.0,12.0,W,204.0
2016-10-26,home,Orlando,Miami,1610612753,0021600004,44.4,-175.0,-152,-155,-155,-150.0,-155.0,-153.4,-150.0,-155.0,52.7,-4.0,-110,-3.0,-105,-3.0,-110,-3.0,-105,-3.5,-105,-3.0,-110,-3.25,-107.5,-3.0,-4.0,-105,-110,100.0,204.0,-110,199.0,-106,199.0,-110,199.0,-105,199,-110,199.0,-110,199.83,-108.5,204.0,199.0,-105,-110,96.0,-12.0,L,204.0
2016-10-26,away,Dallas,Indiana,1610612742,0021600005,48.5,215.0,201,190,200,190.0,190.0,194.2,201.0,190.0,34.3,5.0,-110,5.5,-102,5.5,-110,5.5,-105,6.0,-105,5.5,-110,5.5,-107.0,6.0,5.0,-102,-110,49.4,199.5,-110,205.0,-102,204.5,-110,204.5,-105,205,-110,204.5,-112,203.83,-108.17,205.0,199.5,-102,-112,121.0,-9.0,L,251.0
2016-10-26,home,Indiana,Dallas,1610612754,0021600005,51.5,-255.0,-225,-230,-235,-230.0,-220.0,-228.0,-220.0,-235.0,65.7,-5.0,-110,-5.5,-108,-5.5,-110,-5.5,-105,-6.0,-115,-5.5,-110,-5.5,-109.67,-5.0,-6.0,-105,-115,50.6,199.5,-110,205.0,-113,204.5,-110,204.5,-105,205,-110,204.5,-108,203.83,-109.33,205.0,199.5,-105,-113,130.0,9.0,W,251.0
