GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV
2016-10-25,1,0021600001,1610612752,NYK,New York,0-1,18,27,19,24,0,0,0,0,0,0,0,0,0,0,88,0.368,0.75,0.33299999999999996,17,42,18
2016-10-25,1,0021600001,1610612739,CLE,Cleveland,1-0,28,20,34,35,0,0,0,0,0,0,0,0,0,0,117,0.479,0.737,0.371,31,51,14
2016-10-25,2,0021600002,1610612762,UTA,Utah,0-1,26,20,37,21,0,0,0,0,0,0,0,0,0,0,104,0.488,1.0,0.33299999999999996,19,31,11
2016-10-25,2,0021600002,1610612757,POR,Portland,1-0,26,28,23,36,0,0,0,0,0,0,0,0,0,0,113,0.52,1.0,0.684,22,34,12
2016-10-25,3,0021600003,1610612759,SAS,San Antonio,1-0,31,33,33,32,0,0,0,0,0,0,0,0,0,0,129,0.48,0.885,0.5,25,55,13
2016-10-25,3,0021600003,1610612744,GSW,Golden State,0-1,20,26,31,23,0,0,0,0,0,0,0,0,0,0,100,0.47100000000000003,0.722,0.212,24,35,16
2016-10-26,1,0021600004,1610612748,MIA,Miami,1-0,23,27,30,28,0,0,0,0,0,0,0,0,0,0,108,0.485,0.625,0.25,27,52,10
2016-10-26,1,0021600004,1610612753,ORL,Orlando,0-1,27,26,16,27,0,0,0,0,0,0,0,0,0,0,96,0.382,0.7859999999999999,0.33299999999999996,20,45,11
2016-10-26,2,0021600005,1610612742,DAL,Dallas,0-1,21,31,33,30,6,0,0,0,0,0,0,0,0,0,121,0.433,0.722,0.375,26,49,15
2016-10-26,2,0021600005,1610612754,IND,Indiana,1-0,33,26,35,21,15,0,0,0,0,0,0,0,0,0,130,0.505,0.765,0.526,30,52,16
2016-10-26,3,0021600006,1610612751,BKN,Brooklyn,0-1,31,27,23,36,0,0,0,0,0,0,0,0,0,0,117,0.44299999999999995,0.8,0.341,22,44,16
2016-10-26,3,0021600006,1610612738,BOS,Boston,1-0,33,31,33,25,0,0,0,0,0,0,0,0,0,0,122,0.539,0.833,0.344,36,47,19
2016-10-26,4,0021600007,1610612765,DET,Detroit,0-1,23,23,25,20,0,0,0,0,0,0,0,0,0,0,91,0.41700000000000004,0.773,0.182,17,40,13
2016-10-26,4,0021600007,1610612761,TOR,Toronto,1-0,33,25,28,23,0,0,0,0,0,0,0,0,0,0,109,0.47700000000000004,0.828,0.16699999999999998,17,51,11
2016-10-26,5,0021600008,1610612766,CHA,Charlotte,1-0,32,24,27,24,0,0,0,0,0,0,0,0,0,0,107,0.449,0.833,0.304,27,51,10
2016-10-26,5,0021600008,1610612749,MIL,Milwaukee,0-1,24,17,25,30,0,0,0,0,0,0,0,0,0,0,96,0.424,0.75,0.188,23,46,8
2016-10-26,6,0021600009,1610612750,MIN,Minnesota,0-1,32,27,16,23,0,0,0,0,0,0,0,0,0,0,98,0.419,0.69,0.33299999999999996,20,45,10
2016-10-26,6,0021600009,1610612763,MEM,Memphis,1-0,29,21,26,26,0,0,0,0,0,0,0,0,0,0,102,0.45,0.7040000000000001,0.45799999999999996,19,45,13
2016-10-26,7,0021600010,1610612743,DEN,Denver,1-0,30,30,25,22,0,0,0,0,0,0,0,0,0,0,107,0.446,0.758,0.33299999999999996,18,58,24
2016-10-26,7,0021600010,1610612740,NOP,New Orleans,0-1,24,24,29,25,0,0,0,0,0,0,0,0,0,0,102,0.413,0.885,0.158,31,33,11
2016-10-26,8,0021600011,1610612760,OKC,Oklahoma City,1-0,23,28,18,34,0,0,0,0,0,0,0,0,0,0,103,0.415,0.731,0.273,19,53,10
2016-10-26,8,0021600011,1610612755,PHI,Philadelphia,0-1,24,27,24,22,0,0,0,0,0,0,0,0,0,0,97,0.429,0.72,0.292,21,43,13
2016-10-26,9,0021600012,1610612758,SAC,Sacramento,1-0,30,27,27,29,0,0,0,0,0,0,0,0,0,0,113,0.512,0.731,0.28600000000000003,24,41,13
2016-10-26,9,0021600012,1610612756,PHX,Phoenix,0-1,19,19,29,27,0,0,0,0,0,0,0,0,0,0,94,0.46799999999999997,0.667,0.25,20,41,18
2016-10-26,10,0021600013,1610612745,HOU,Houston,0-1,38,33,25,18,0,0,0,0,0,0,0,0,0,0,114,0.512,0.7040000000000001,0.24100000000000002,29,39,14
