,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,Team,Opponent,Home,Date,Win,Minutes
283,108.0,42.0,90.0,46.7,9.0,25.0,36.0,15.0,20.0,75.0,8.0,43.0,51.0,24.0,11.0,5.0,5.0,19.0,10.0,106.0,110.0,-4.0,57.1,1.14,17.3,34.1,68.8,52.2,21.0,54.8,57.5,100.0,49.4,MIL,CHI,0,04/30/2021,W,48.0
284,109.0,40.0,95.0,42.1,13.0,41.0,31.7,16.0,19.0,84.2,11.0,31.0,42.0,20.0,8.0,6.0,3.0,18.0,-19.0,126.0,104.2,21.9,56.3,2.45,19.9,30.2,82.6,57.3,11.5,60.8,62.8,96.0,59.8,BKN,POR,1,04/30/2021,L,48.0
285,75.0,27.0,86.0,31.4,6.0,26.0,23.1,15.0,20.0,75.0,12.0,44.0,56.0,16.0,20.0,4.0,6.0,19.0,-17.0,104.0,124.8,-20.8,52.8,1.06,14.3,29.2,62.5,47.1,18.0,50.0,55.1,100.5,39.7,ORL,MEM,0,04/30/2021,L,48.0
286,109.0,45.0,101.0,44.6,5.0,29.0,17.2,14.0,19.0,73.7,15.0,41.0,56.0,26.0,12.0,11.0,6.0,22.0,14.0,115.0,106.1,8.9,55.0,1.83,16.4,24.5,84.2,50.6,12.0,52.2,58.0,99.5,50.5,NOP,OKC,0,04/29/2021,W,48.0
287,105.0,36.0,71.0,50.7,10.0,29.0,34.5,23.0,34.0,67.6,3.0,36.0,39.0,26.0,18.0,7.0,5.0,23.0,-10.0,101.9,89.6,12.2,57.8,2.17,17.4,28.8,75.4,51.7,11.2,47.0,49.8,106.5,60.8,DET,DAL,1,04/29/2021,L,48.0
288,114.0,42.0,85.0,49.4,15.0,38.0,39.5,15.0,21.0,71.4,4.0,30.0,34.0,28.0,10.0,10.0,7.0,21.0,-12.0,126.0,112.9,13.1,72.1,2.21,20.4,39.3,89.4,62.1,14.0,56.4,59.0,100.5,52.1,GSW,MIN,0,04/29/2021,L,48.0
289,143.0,49.0,98.0,50.0,25.0,46.0,54.3,20.0,24.0,83.3,16.0,36.0,52.0,23.0,18.0,6.0,6.0,23.0,7.0,89.6,101.9,-12.2,52.9,0.82,13.0,24.6,71.2,48.3,20.8,44.4,48.6,106.5,39.2,HOU,MIL,1,04/29/2021,W,48.0
290,115.0,40.0,89.0,44.9,13.0,30.0,43.3,22.0,23.0,95.7,8.0,27.0,35.0,22.0,12.0,6.0,2.0,20.0,10.0,125.0,107.6,17.4,74.5,2.5,23.3,25.6,78.2,55.1,13.5,59.6,64.2,104.5,59.8,DAL,DET,0,04/29/2021,W,48.0
291,126.0,43.0,94.0,45.7,20.0,41.0,48.8,20.0,29.0,69.0,16.0,41.0,57.0,31.0,14.0,5.0,2.0,21.0,12.0,124.8,131.2,-6.4,55.1,1.93,18.5,21.7,62.7,43.3,12.8,61.3,65.4,109.0,50.9,MIN,GSW,1,04/29/2021,W,48.0
292,130.0,47.0,89.0,52.8,12.0,35.0,34.3,24.0,28.0,85.7,8.0,42.0,50.0,35.0,14.0,3.0,5.0,19.0,17.0,131.2,124.8,6.4,46.9,1.28,15.3,37.3,78.3,56.7,16.5,62.8,65.9,109.0,49.1,BKN,IND,0,04/29/2021,W,48.0
293,111.0,40.0,83.0,48.2,16.0,32.0,50.0,15.0,18.0,83.3,7.0,29.0,36.0,27.0,16.0,10.0,6.0,19.0,-10.0,107.6,125.0,-17.4,56.1,2.3,16.5,21.8,74.4,44.9,9.5,48.4,53.7,104.5,40.2,TOR,DEN,0,04/29/2021,L,48.0
294,113.0,41.0,96.0,42.7,11.0,39.0,28.2,20.0,21.0,95.2,7.0,31.0,38.0,23.0,10.0,8.0,6.0,23.0,-17.0,106.1,115.0,-8.9,72.2,1.44,20.0,15.8,75.5,49.4,18.2,57.7,61.1,99.5,49.5,IND,BKN,1,04/29/2021,L,48.0
295,121.0,44.0,93.0,47.3,12.0,35.0,34.3,21.0,26.0,80.8,14.0,33.0,47.0,22.0,11.0,6.0,7.0,16.0,10.0,122.2,113.3,9.0,50.0,2.0,15.9,34.6,77.8,54.6,11.1,53.8,57.9,98.5,52.1,DEN,TOR,1,04/29/2021,W,48.0
296,95.0,34.0,89.0,38.2,11.0,39.0,28.2,16.0,20.0,80.0,12.0,41.0,53.0,18.0,22.0,6.0,4.0,21.0,-14.0,112.9,126.0,-13.1,66.7,2.8,20.9,10.6,60.7,37.9,9.9,58.2,60.5,100.5,47.9,OKC,NOP,1,04/29/2021,L,48.0
297,136.0,49.0,93.0,52.7,16.0,39.0,41.0,22.0,25.0,88.0,8.0,30.0,38.0,27.0,14.0,12.0,5.0,21.0,-7.0,113.3,122.2,-9.0,67.5,1.69,20.1,22.2,65.4,45.4,16.3,57.8,61.0,98.5,47.9,MIL,HOU,0,04/29/2021,L,48.0
298,111.0,37.0,87.0,42.5,13.0,35.0,37.1,24.0,32.0,75.0,11.0,22.0,33.0,29.0,11.0,7.0,5.0,18.0,-9.0,125.0,103.8,21.2,51.1,2.3,16.5,24.5,78.8,52.5,9.6,57.1,62.3,104.5,56.7,CHA,BOS,0,04/28/2021,L,48.0
299,120.0,44.0,92.0,47.8,15.0,40.0,37.5,17.0,22.0,77.3,19.0,35.0,54.0,26.0,14.0,9.0,8.0,24.0,9.0,139.6,89.2,50.3,60.4,3.63,21.6,30.4,62.5,48.0,8.8,62.9,64.3,92.0,73.0,BOS,CHA,1,04/28/2021,W,48.0
300,114.0,43.0,85.0,50.6,10.0,32.0,31.3,18.0,23.0,78.3,3.0,35.0,38.0,26.0,18.0,14.0,8.0,17.0,2.0,104.6,101.8,2.8,60.5,1.44,18.6,11.6,80.4,47.2,16.5,56.5,59.9,109.5,53.1,DEN,NOP,1,04/28/2021,W,48.0
301,83.0,27.0,81.0,33.3,6.0,19.0,31.6,23.0,29.0,79.3,17.0,30.0,47.0,17.0,15.0,3.0,3.0,18.0,-44.0,112.1,118.4,-6.2,63.4,2.89,19.3,20.0,77.3,46.8,9.1,52.3,56.3,98.5,48.0,ATL,PHI,0,04/28/2021,L,48.0
302,116.0,43.0,85.0,50.6,9.0,25.0,36.0,21.0,24.0,87.5,10.0,38.0,48.0,26.0,13.0,4.0,1.0,23.0,5.0,111.0,121.1,-10.1,58.5,1.6,19.2,25.0,65.3,47.2,16.5,58.8,60.1,90.5,46.6,MIA,SAS,1,04/28/2021,W,48.0
303,101.0,41.0,80.0,51.3,12.0,31.0,38.7,7.0,9.0,77.8,5.0,31.0,36.0,24.0,15.0,8.0,0.0,16.0,-8.0,89.2,139.6,-50.3,63.0,1.13,13.1,37.5,69.6,52.0,16.1,37.0,44.3,92.0,27.0,LAC,PHX,0,04/28/2021,L,48.0
304,113.0,42.0,91.0,46.2,12.0,27.0,44.4,17.0,19.0,89.5,9.0,32.0,41.0,27.0,4.0,10.0,9.0,16.0,19.0,120.2,102.2,18.0,64.3,6.75,20.3,23.5,78.7,50.0,4.3,52.7,56.9,93.0,57.0,NYK,CHI,1,04/28/2021,W,48.0
305,105.0,42.0,87.0,48.3,7.0,21.0,33.3,14.0,17.0,82.4,3.0,21.0,24.0,24.0,13.0,8.0,6.0,19.0,-49.0,118.4,112.1,6.2,60.5,2.0,19.4,22.7,80.0,53.2,13.3,55.9,60.7,98.5,52.0,SAC,UTA,1,04/28/2021,L,48.0
306,107.0,42.0,96.0,43.8,10.0,34.0,29.4,13.0,21.0,61.9,13.0,28.0,41.0,31.0,10.0,10.0,8.0,20.0,-9.0,122.4,114.4,8.0,59.1,1.86,17.8,44.9,70.9,58.7,14.3,56.0,59.0,97.5,55.6,LAL,WAS,0,04/28/2021,L,48.0
307,109.0,37.0,88.0,42.0,9.0,32.0,28.1,26.0,30.0,86.7,8.0,36.0,44.0,26.0,11.0,7.0,6.0,21.0,-21.0,113.7,105.9,7.8,51.1,1.71,17.3,29.5,75.9,55.9,13.7,55.6,58.4,101.5,54.0,MEM,POR,1,04/28/2021,L,48.0
308,112.0,43.0,87.0,49.4,12.0,30.0,40.0,14.0,19.0,73.7,6.0,36.0,42.0,27.0,21.0,13.0,5.0,24.0,-2.0,152.5,104.0,48.5,65.5,2.57,24.5,31.3,83.3,62.5,13.9,77.9,80.8,101.0,68.6,NOP,DEN,0,04/28/2021,L,48.0
309,94.0,39.0,85.0,45.9,10.0,29.0,34.5,6.0,10.0,60.0,7.0,36.0,43.0,29.0,14.0,2.0,4.0,12.0,-19.0,107.9,103.0,5.0,60.5,1.73,19.0,21.7,70.2,48.5,14.9,56.5,58.1,101.0,52.5,CHI,NYK,0,04/28/2021,L,48.0
310,127.0,48.0,89.0,53.9,16.0,36.0,44.4,15.0,22.0,68.2,11.0,35.0,46.0,29.0,8.0,12.0,10.0,22.0,44.0,104.0,152.5,-48.5,57.1,1.85,18.2,16.7,68.8,37.5,12.9,52.3,55.6,101.0,31.4,PHI,ATL,1,04/28/2021,W,48.0
311,109.0,43.0,85.0,50.6,10.0,29.0,34.5,13.0,20.0,65.0,9.0,40.0,49.0,26.0,15.0,9.0,7.0,21.0,5.0,114.4,122.4,-8.0,78.4,2.64,20.4,29.1,55.1,41.3,11.3,50.0,54.9,97.5,44.4,ORL,CLE,0,04/28/2021,W,48.0
312,154.0,55.0,86.0,64.0,24.0,41.0,58.5,20.0,21.0,95.2,8.0,39.0,47.0,36.0,14.0,4.0,9.0,15.0,49.0,101.8,104.6,-2.8,62.8,1.29,18.6,19.6,88.4,52.8,19.1,56.3,58.7,109.5,46.9,UTA,SAC,0,04/28/2021,W,48.0
313,109.0,43.0,91.0,47.3,13.0,37.0,35.1,10.0,13.0,76.9,15.0,30.0,45.0,23.0,10.0,9.0,4.0,11.0,8.0,105.9,113.7,-7.8,73.8,3.1,21.2,24.1,70.5,44.1,9.9,49.0,50.8,101.5,46.0,PHX,LAC,1,04/28/2021,W,48.0
314,116.0,47.0,90.0,52.2,6.0,18.0,33.3,16.0,21.0,76.2,10.0,40.0,50.0,24.0,14.0,6.0,4.0,20.0,9.0,102.2,120.2,-18.0,74.4,2.07,22.1,21.3,76.5,50.0,15.2,51.8,52.6,93.0,43.0,WAS,LAL,1,04/28/2021,W,48.0
315,111.0,41.0,88.0,46.6,10.0,32.0,31.3,19.0,24.0,79.2,7.0,33.0,40.0,26.0,9.0,6.0,3.0,20.0,-5.0,103.0,107.9,-5.0,81.1,2.31,20.5,29.8,78.3,51.5,12.9,46.7,50.7,101.0,47.5,SAS,MIA,0,04/28/2021,L,48.0
316,130.0,45.0,92.0,48.9,15.0,40.0,37.5,25.0,28.0,89.3,11.0,40.0,51.0,23.0,10.0,7.0,6.0,20.0,21.0,121.1,111.0,10.1,53.5,2.3,17.7,34.7,75.0,52.8,11.1,54.4,56.3,90.5,53.4,POR,MEM,0,04/28/2021,W,48.0
317,104.0,37.0,92.0,40.2,12.0,44.0,27.3,18.0,24.0,75.0,13.0,32.0,45.0,30.0,13.0,12.0,3.0,15.0,-5.0,103.8,125.0,-21.2,70.3,2.36,18.4,21.2,75.5,47.5,10.5,47.2,53.9,104.5,43.3,CLE,ORL,1,04/28/2021,L,48.0
318,103.0,36.0,91.0,39.6,15.0,43.0,34.9,16.0,19.0,84.2,15.0,32.0,47.0,24.0,13.0,5.0,3.0,19.0,-13.0,127.9,105.7,22.2,52.0,2.0,17.0,40.4,84.0,60.7,12.5,56.6,58.8,105.0,54.9,TOR,BKN,1,04/27/2021,L,48.0
319,114.0,45.0,93.0,48.4,10.0,38.0,26.3,14.0,25.0,56.0,12.0,36.0,48.0,29.0,14.0,10.0,6.0,20.0,7.0,109.6,100.0,9.6,59.6,1.87,19.6,25.0,83.0,53.7,14.4,55.4,57.5,104.0,56.0,MIN,HOU,0,04/27/2021,W,48.0
320,114.0,47.0,93.0,50.5,9.0,35.0,25.7,11.0,14.0,78.6,9.0,39.0,48.0,28.0,15.0,13.0,3.0,24.0,10.0,129.1,99.0,30.1,43.8,1.62,15.6,25.0,77.8,54.1,12.6,62.0,65.4,103.5,59.8,MIL,CHA,0,04/27/2021,W,48.0
321,116.0,40.0,83.0,48.2,18.0,45.0,40.0,18.0,18.0,100.0,7.0,34.0,41.0,30.0,11.0,9.0,6.0,20.0,13.0,99.0,129.1,-30.1,73.5,1.39,17.7,22.2,75.0,45.9,17.3,50.0,54.5,103.5,40.2,BKN,TOR,0,04/27/2021,W,48.0
322,104.0,38.0,82.0,46.3,12.0,35.0,34.3,16.0,23.0,69.6,7.0,31.0,38.0,26.0,18.0,6.0,7.0,17.0,-10.0,106.3,101.8,4.5,64.1,0.93,16.7,28.9,79.3,57.3,24.1,56.2,61.4,112.5,51.1,CHA,MIL,1,04/27/2021,L,48.0
323,107.0,42.0,86.0,48.8,7.0,31.0,22.6,16.0,22.0,72.7,8.0,37.0,45.0,24.0,17.0,9.0,4.0,22.0,-7.0,108.4,120.8,-12.4,66.7,1.85,17.6,31.6,81.4,53.0,13.7,47.8,51.8,95.5,40.6,HOU,MIN,1,04/27/2021,L,48.0
324,119.0,39.0,81.0,48.1,13.0,30.0,43.3,28.0,36.0,77.8,10.0,41.0,51.0,25.0,27.0,5.0,3.0,24.0,4.0,107.5,101.9,5.6,64.4,2.07,19.5,25.5,83.0,52.0,13.2,53.8,54.8,105.5,52.8,OKC,BOS,0,04/27/2021,W,48.0
325,133.0,48.0,92.0,52.2,18.0,35.0,51.4,19.0,22.0,86.4,9.0,41.0,50.0,21.0,13.0,9.0,4.0,19.0,30.0,101.9,107.5,-5.6,57.1,1.41,17.5,17.0,74.5,48.0,16.2,52.9,55.9,105.5,47.2,DAL,GSW,0,04/27/2021,W,48.0
326,112.0,40.0,86.0,46.5,10.0,30.0,33.3,22.0,28.0,78.6,7.0,31.0,38.0,25.0,13.0,6.0,12.0,17.0,-21.0,101.8,106.3,-4.5,51.2,1.5,14.4,20.7,71.1,42.7,12.4,47.9,53.2,112.5,48.9,IND,POR,1,04/27/2021,L,48.0
327,133.0,50.0,106.0,47.2,20.0,35.0,57.1,13.0,16.0,81.3,20.0,37.0,57.0,26.0,13.0,6.0,5.0,19.0,21.0,105.7,127.9,-22.2,62.5,1.92,18.0,16.0,59.6,39.3,12.3,52.3,57.0,105.0,45.1,POR,IND,0,04/27/2021,W,48.0
328,115.0,41.0,97.0,42.3,11.0,49.0,22.4,22.0,25.0,88.0,8.0,31.0,39.0,21.0,14.0,16.0,7.0,26.0,-4.0,120.8,108.4,12.4,75.0,2.73,22.4,18.6,68.4,47.0,11.5,59.0,63.8,95.5,59.4,BOS,OKC,1,04/27/2021,L,48.0
329,103.0,34.0,84.0,40.5,16.0,43.0,37.2,19.0,24.0,79.2,10.0,33.0,43.0,25.0,18.0,11.0,5.0,18.0,-30.0,100.0,109.6,-9.6,68.4,1.44,18.8,17.0,75.0,46.3,17.3,53.7,56.4,104.0,44.0,GSW,DAL,1,04/27/2021,L,48.0
330,86.0,33.0,85.0,38.8,4.0,27.0,14.8,16.0,17.0,94.1,9.0,36.0,45.0,19.0,16.0,10.0,4.0,17.0,-14.0,133.9,132.4,1.5,49.1,4.5,17.8,32.7,61.1,47.6,5.5,56.3,61.7,98.26,50.9,ATL,DET,0,04/26/2021,L,48.0
331,105.0,37.0,83.0,44.6,16.0,44.0,36.4,15.0,21.0,71.4,8.0,40.0,48.0,29.0,16.0,7.0,4.0,21.0,1.0,118.9,110.4,8.5,54.8,1.28,17.7,31.7,71.2,53.8,18.9,59.9,63.5,95.5,54.3,MIN,UTA,1,04/26/2021,W,48.0
332,100.0,40.0,84.0,47.6,9.0,26.0,34.6,11.0,15.0,73.3,8.0,39.0,47.0,22.0,14.0,9.0,8.0,16.0,14.0,110.4,118.9,-8.5,55.8,2.4,17.8,28.8,68.3,46.2,10.4,53.3,54.0,95.5,45.7,DET,ATL,1,04/26/2021,W,48.0
333,110.0,45.0,87.0,51.7,12.0,29.0,41.4,8.0,10.0,80.0,6.0,29.0,35.0,24.0,11.0,6.0,1.0,19.0,-8.0,125.5,117.0,8.5,51.1,1.92,18.4,21.1,76.2,50.0,12.8,62.7,65.2,94.0,54.4,NYK,PHX,1,04/26/2021,L,48.0
334,96.0,34.0,81.0,42.0,4.0,32.0,12.5,24.0,31.0,77.4,6.0,39.0,45.0,20.0,16.0,8.0,6.0,22.0,-24.0,102.0,88.7,13.4,55.0,1.57,17.2,17.4,76.9,49.0,14.3,53.0,55.2,97.5,58.3,MEM,DEN,0,04/26/2021,L,48.0
335,146.0,55.0,103.0,53.4,6.0,17.0,35.3,30.0,35.0,85.7,13.0,31.0,44.0,27.0,6.0,6.0,1.0,21.0,3.0,108.5,115.8,-7.3,50.0,3.0,15.3,12.2,74.4,39.8,6.4,47.0,53.7,94.5,44.3,SAS,WAS,0,04/26/2021,W,53.0
336,120.0,44.0,82.0,53.7,15.0,29.0,51.7,17.0,26.0,65.4,8.0,36.0,44.0,28.0,16.0,13.0,5.0,18.0,17.0,132.4,133.9,-1.5,44.8,3.25,16.8,38.9,67.3,52.4,7.4,56.0,59.6,98.26,49.1,NOP,LAC,1,04/26/2021,W,48.0
337,120.0,45.0,94.0,47.9,11.0,33.0,33.3,19.0,22.0,86.4,8.0,40.0,48.0,25.0,11.0,8.0,3.0,20.0,24.0,110.8,122.6,-11.8,44.4,1.45,14.0,14.3,66.7,40.5,11.8,54.6,59.5,93.0,41.2,DEN,MEM,1,04/26/2021,W,48.0
338,114.0,47.0,87.0,54.0,11.0,31.0,35.5,9.0,14.0,64.3,9.0,35.0,44.0,23.0,12.0,8.0,5.0,18.0,11.0,92.3,115.4,-23.1,58.8,1.25,15.3,16.3,78.4,48.0,15.4,44.4,50.7,104.0,40.0,LAL,ORL,0,04/26/2021,W,48.0
339,106.0,43.0,92.0,46.7,12.0,42.0,28.6,8.0,14.0,57.1,14.0,26.0,40.0,24.0,10.0,9.0,2.0,15.0,-7.0,117.5,86.5,30.9,57.4,1.29,19.0,29.3,64.0,48.4,20.4,62.8,64.4,103.5,69.1,DAL,SAC,0,04/26/2021,L,48.0
340,113.0,42.0,81.0,51.9,13.0,29.0,44.8,16.0,18.0,88.9,11.0,35.0,46.0,23.0,18.0,6.0,4.0,15.0,7.0,88.7,102.0,-13.4,57.6,1.19,14.8,23.1,82.6,51.0,16.5,41.2,46.5,97.5,41.7,SAC,DAL,1,04/26/2021,W,48.0
341,121.0,47.0,86.0,54.7,14.0,31.0,45.2,13.0,18.0,72.2,10.0,31.0,41.0,27.0,21.0,22.0,7.0,19.0,31.0,107.2,108.2,-1.0,64.9,2.18,17.3,30.6,75.5,50.5,11.3,47.4,50.3,97.0,47.6,PHI,OKC,1,04/26/2021,W,48.0
342,112.0,43.0,79.0,54.4,8.0,29.0,27.6,18.0,20.0,90.0,5.0,35.0,40.0,32.0,13.0,7.0,5.0,19.0,16.0,108.2,107.2,1.0,78.4,1.81,21.2,24.5,69.4,49.5,16.5,54.2,56.9,97.0,52.4,TOR,CLE,1,04/26/2021,W,48.0
343,90.0,35.0,78.0,44.9,7.0,30.0,23.3,13.0,23.0,56.5,11.0,27.0,38.0,21.0,30.0,11.0,1.0,16.0,-31.0,101.1,117.9,-16.8,69.4,1.79,19.1,22.9,81.1,48.2,14.7,49.4,53.3,95.0,40.4,OKC,PHI,0,04/26/2021,L,48.0
344,143.0,58.0,109.0,53.2,6.0,20.0,30.0,21.0,25.0,84.0,18.0,32.0,50.0,26.0,8.0,4.0,8.0,23.0,-3.0,117.6,102.0,15.7,63.6,1.75,20.0,23.8,68.5,49.0,15.7,62.8,64.2,101.5,63.0,WAS,SAS,1,04/26/2021,L,53.0
345,103.0,36.0,76.0,47.4,11.0,25.0,44.0,20.0,24.0,83.3,4.0,24.0,28.0,16.0,11.0,5.0,3.0,18.0,-11.0,122.6,110.8,11.8,48.9,1.92,17.8,33.3,85.7,59.5,12.9,60.3,61.2,93.0,58.8,ORL,LAL,1,04/26/2021,L,48.0
346,104.0,37.0,95.0,38.9,16.0,57.0,28.1,14.0,19.0,73.7,16.0,33.0,49.0,24.0,11.0,9.0,6.0,18.0,-1.0,86.5,117.5,-30.9,60.0,0.7,14.7,36.0,70.7,51.6,28.8,49.4,51.1,103.5,30.9,UTA,MIN,0,04/26/2021,L,48.0
347,118.0,45.0,83.0,54.2,14.0,34.0,41.2,14.0,17.0,82.4,5.0,32.0,37.0,23.0,12.0,5.0,6.0,13.0,8.0,117.0,125.5,-8.5,53.3,2.18,18.8,23.8,78.9,50.0,11.7,58.6,60.2,94.0,45.6,PHX,NYK,0,04/26/2021,W,48.0
348,102.0,36.0,84.0,42.9,7.0,36.0,19.4,23.0,25.0,92.0,6.0,28.0,34.0,18.0,6.0,13.0,4.0,19.0,-8.0,115.8,108.5,7.3,80.5,1.83,24.1,25.6,87.8,60.2,18.9,60.4,63.5,94.5,55.7,MIA,CHI,1,04/26/2021,L,48.0
349,110.0,41.0,77.0,53.2,11.0,29.0,37.9,17.0,22.0,77.3,9.0,42.0,51.0,33.0,18.0,3.0,4.0,21.0,8.0,115.4,92.3,23.1,55.6,2.27,17.9,21.6,83.7,52.0,10.6,53.7,57.9,104.0,60.0,CHI,MIA,0,04/26/2021,W,48.0
350,103.0,36.0,90.0,40.0,14.0,45.0,31.1,17.0,17.0,100.0,13.0,31.0,44.0,20.0,19.0,5.0,5.0,23.0,-17.0,117.9,101.1,16.8,74.4,2.46,24.1,18.9,77.1,51.8,13.7,59.5,63.8,95.0,59.6,LAC,NOP,0,04/26/2021,L,48.0
351,96.0,36.0,83.0,43.4,10.0,38.0,26.3,14.0,16.0,87.5,9.0,28.0,37.0,25.0,14.0,6.0,3.0,16.0,-16.0,102.0,117.6,-15.7,55.6,1.05,14.5,31.5,76.2,51.0,18.8,47.8,52.8,101.5,37.0,CLE,TOR,0,04/26/2021,L,48.0
352,119.0,43.0,90.0,47.8,12.0,34.0,35.3,21.0,25.0,84.0,15.0,28.0,43.0,22.0,12.0,5.0,3.0,24.0,-9.0,130.6,122.7,7.9,65.2,2.73,21.3,33.3,66.0,51.1,11.2,60.3,64.7,97.5,57.8,PHX,BKN,0,04/25/2021,L,48.0
353,104.0,39.0,81.0,48.1,8.0,28.0,28.6,18.0,23.0,78.3,4.0,37.0,41.0,20.0,12.0,6.0,6.0,18.0,-7.0,104.6,112.1,-7.5,53.8,1.91,14.0,30.9,76.9,50.8,10.2,43.8,48.7,107.5,44.1,MIL,ATL,0,04/25/2021,L,48.0
354,113.0,39.0,105.0,37.1,14.0,38.0,36.8,21.0,25.0,84.0,15.0,38.0,53.0,21.0,11.0,11.0,6.0,22.0,-7.0,113.4,120.2,-6.8,70.0,1.47,20.4,30.0,68.8,51.1,19.6,57.7,61.8,98.0,45.7,POR,MEM,1,04/25/2021,L,48.0
355,125.0,47.0,93.0,50.5,21.0,43.0,48.8,10.0,11.0,90.9,10.0,36.0,46.0,39.0,11.0,7.0,8.0,21.0,21.0,107.7,126.0,-18.3,55.0,3.14,15.3,29.7,83.7,51.4,6.7,44.6,49.4,104.0,42.7,CHA,BOS,1,04/25/2021,W,48.0
356,120.0,42.0,91.0,46.2,12.0,23.0,52.2,24.0,28.0,85.7,8.0,46.0,54.0,22.0,15.0,9.0,7.0,22.0,7.0,106.1,127.6,-21.4,52.9,1.38,13.7,28.6,74.5,49.5,13.3,46.6,52.3,98.0,37.0,MEM,POR,0,04/25/2021,W,48.0
357,131.0,50.0,91.0,54.9,15.0,32.0,46.9,16.0,18.0,88.9,5.0,43.0,48.0,28.0,13.0,3.0,5.0,20.0,19.0,122.7,130.6,-7.9,51.2,1.83,16.2,34.0,66.7,48.9,12.4,54.4,58.9,97.5,42.2,IND,ORL,0,04/25/2021,W,48.0
358,119.0,43.0,89.0,48.3,12.0,31.0,38.7,21.0,26.0,80.8,10.0,26.0,36.0,25.0,10.0,11.0,6.0,21.0,9.0,117.0,111.9,5.1,65.2,1.76,20.1,37.3,82.6,58.8,17.0,55.8,57.6,100.5,52.0,WAS,CLE,1,04/25/2021,W,48.0
359,111.0,40.0,88.0,45.5,13.0,35.0,37.1,18.0,23.0,78.3,5.0,39.0,44.0,23.0,10.0,6.0,1.0,20.0,7.0,120.2,113.4,6.8,58.1,2.5,18.0,31.3,70.0,48.9,10.1,55.1,59.2,98.0,54.3,ATL,MIL,1,04/25/2021,W,48.0
360,110.0,40.0,78.0,51.3,10.0,27.0,37.0,20.0,25.0,80.0,10.0,27.0,37.0,28.0,19.0,5.0,4.0,25.0,-9.0,112.1,104.6,7.5,52.4,1.47,15.6,23.1,69.1,49.2,14.0,52.7,58.1,107.5,55.9,CLE,WAS,0,04/25/2021,L,48.0
361,113.0,41.0,86.0,47.7,14.0,37.0,37.8,17.0,22.0,77.3,6.0,31.0,37.0,22.0,11.0,8.0,5.0,15.0,-4.0,126.0,107.7,18.3,56.0,2.15,20.1,16.3,70.3,48.6,12.5,63.2,66.2,104.0,57.3,SAC,GSW,0,04/25/2021,L,48.0
362,117.0,46.0,95.0,48.4,14.0,36.0,38.9,11.0,15.0,73.3,17.0,36.0,53.0,30.0,17.0,5.0,3.0,16.0,4.0,111.9,117.0,-5.1,53.7,2.0,16.8,17.4,62.7,41.2,10.9,55.8,59.1,100.5,48.0,GSW,SAC,1,04/25/2021,W,48.0
363,112.0,40.0,101.0,39.6,10.0,32.0,31.3,22.0,28.0,78.6,15.0,36.0,51.0,22.0,7.0,9.0,3.0,14.0,-19.0,127.6,106.1,21.4,83.0,3.55,26.4,25.5,71.4,50.5,11.2,61.8,63.9,98.0,63.0,ORL,IND,1,04/25/2021,L,48.0
364,104.0,34.0,88.0,38.6,14.0,41.0,34.1,22.0,26.0,84.6,11.0,30.0,41.0,18.0,13.0,6.0,2.0,13.0,-21.0,109.9,104.0,5.9,57.5,2.3,17.2,22.0,91.1,54.7,9.9,52.8,56.6,100.5,51.0,BOS,CHA,0,04/25/2021,L,48.0
365,128.0,46.0,87.0,52.9,13.0,28.0,46.4,23.0,27.0,85.2,11.0,33.0,44.0,30.0,11.0,6.0,4.0,17.0,9.0,104.0,109.9,-5.9,51.3,1.67,16.1,8.9,78.0,45.3,12.0,53.1,57.1,100.5,49.0,BKN,PHX,1,04/25/2021,W,48.0
366,108.0,41.0,87.0,47.1,9.0,22.0,40.9,17.0,32.0,53.1,10.0,38.0,48.0,20.0,20.0,12.0,1.0,24.0,-2.0,110.4,105.2,5.2,61.1,1.69,17.3,20.8,80.5,48.3,13.5,53.8,58.5,96.0,51.3,NOP,SAS,1,04/24/2021,L,48.0
367,93.0,33.0,86.0,38.4,12.0,45.0,26.7,15.0,19.0,78.9,6.0,30.0,36.0,22.0,9.0,11.0,4.0,22.0,-15.0,97.0,102.0,-5.1,72.7,1.2,18.0,20.0,70.2,46.7,20.2,51.8,54.2,99.0,49.8,LAL,DAL,0,04/24/2021,L,48.0
368,101.0,38.0,79.0,48.1,13.0,38.0,34.2,12.0,13.0,92.3,6.0,36.0,42.0,28.0,18.0,7.0,2.0,20.0,-5.0,91.3,126.9,-35.7,48.4,0.88,11.6,19.6,65.4,41.7,16.5,42.1,48.5,103.5,32.6,CHI,MIA,0,04/24/2021,L,48.0
369,120.0,42.0,75.0,56.0,16.0,31.0,51.6,20.0,24.0,83.3,5.0,39.0,44.0,20.0,15.0,4.0,4.0,17.0,17.0,101.9,101.9,0.0,48.8,1.0,14.3,26.4,76.9,51.4,18.9,52.3,53.4,107.0,45.6,NYK,TOR,1,04/24/2021,W,48.0
