,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,Team,Opponent,Home,Date,Win,Minutes
75,102.0,35.0,86.0,40.7,14.0,35.0,40.0,18.0,18.0,100.0,10.0,38.0,48.0,23.0,10.0,7.0,8.0,19.0,4.0,130.3,123.1,7.1,63.0,2.83,21.7,29.8,70.5,52.8,11.0,63.3,66.0,108.5,58.2,NYK,SAS,1,05/13/2021,W,48.0
76,125.0,47.0,96.0,49.0,15.0,45.0,33.3,16.0,20.0,80.0,9.0,39.0,48.0,23.0,8.0,4.0,2.0,27.0,18.0,112.1,108.4,3.7,50.0,1.57,16.1,17.8,78.9,52.0,13.1,57.0,61.0,107.0,51.4,DAL,NOP,1,05/12/2021,W,48.0
77,94.0,36.0,101.0,35.6,12.0,41.0,29.3,10.0,14.0,71.4,13.0,33.0,46.0,14.0,7.0,9.0,8.0,23.0,-8.0,108.4,112.1,-3.7,64.4,4.14,19.7,21.1,82.2,48.0,6.5,49.5,53.0,107.0,48.6,BOS,CLE,0,05/12/2021,L,48.0
78,98.0,35.0,85.0,41.2,12.0,40.0,30.0,16.0,21.0,76.2,15.0,38.0,53.0,15.0,12.0,4.0,4.0,22.0,-7.0,119.6,122.8,-3.2,76.7,2.2,22.4,24.5,77.3,49.5,14.7,61.2,63.0,101.5,48.4,UTA,POR,1,05/12/2021,L,48.0
79,124.0,52.0,91.0,57.1,7.0,20.0,35.0,13.0,22.0,59.1,8.0,33.0,41.0,28.0,11.0,8.0,3.0,20.0,2.0,115.4,108.9,6.5,42.5,3.4,13.9,27.3,66.7,46.2,5.5,51.1,53.3,90.5,53.7,LAL,HOU,1,05/12/2021,W,48.0
80,107.0,36.0,87.0,41.4,7.0,28.0,25.0,28.0,38.0,73.7,11.0,33.0,44.0,18.0,13.0,5.0,2.0,18.0,-18.0,102.0,94.0,8.0,75.0,1.69,19.7,24.4,75.8,55.0,16.0,50.0,55.5,100.0,64.0,NOP,DAL,0,05/12/2021,L,48.0
81,116.0,45.0,101.0,44.6,10.0,29.0,34.5,16.0,19.0,84.2,9.0,33.0,42.0,29.0,7.0,10.0,1.0,20.0,-4.0,117.2,128.0,-10.8,48.8,2.63,14.9,34.4,85.7,53.1,8.1,46.5,51.4,99.5,39.6,WAS,ATL,0,05/12/2021,L,48.0
82,128.0,48.0,79.0,60.8,12.0,28.0,42.9,20.0,27.0,74.1,3.0,40.0,43.0,33.0,11.0,3.0,9.0,19.0,12.0,128.0,117.2,10.8,68.8,3.0,24.1,14.3,65.6,46.9,11.0,68.4,70.4,99.5,60.4,BKN,SAS,1,05/12/2021,W,48.0
83,122.0,43.0,85.0,50.6,18.0,42.0,42.9,18.0,27.0,66.7,8.0,33.0,41.0,33.0,15.0,7.0,4.0,23.0,-2.0,94.0,102.0,-8.0,38.9,2.0,10.9,24.2,75.6,45.0,7.0,41.6,43.9,100.0,36.0,HOU,LAL,0,05/12/2021,L,48.0
84,116.0,43.0,101.0,42.6,8.0,31.0,25.8,22.0,27.0,81.5,16.0,30.0,46.0,21.0,8.0,7.0,2.0,19.0,-12.0,108.9,115.4,-6.5,42.9,1.25,12.3,33.3,72.7,53.8,13.3,48.2,52.0,90.5,46.3,SAS,BKN,0,05/12/2021,L,48.0
85,120.0,44.0,86.0,51.2,10.0,33.0,30.3,22.0,28.0,78.6,7.0,44.0,51.0,22.0,14.0,4.0,5.0,21.0,4.0,105.9,121.4,-15.4,50.0,1.38,13.4,27.3,74.0,49.5,12.9,45.4,51.6,102.0,41.7,ATL,WAS,1,05/12/2021,W,48.0
86,105.0,40.0,91.0,44.0,13.0,32.0,40.6,12.0,17.0,70.6,9.0,30.0,39.0,17.0,5.0,7.0,6.0,18.0,7.0,122.8,119.6,3.2,53.8,2.55,20.1,22.7,75.5,50.5,10.9,61.0,61.6,101.5,51.6,POR,UTA,0,05/12/2021,W,48.0
87,102.0,36.0,80.0,45.0,8.0,24.0,33.3,22.0,27.0,81.5,7.0,48.0,55.0,27.0,16.0,4.0,6.0,13.0,8.0,121.4,105.9,15.4,48.9,2.88,16.5,26.0,72.7,50.5,7.8,56.8,59.6,102.0,58.3,CLE,BOS,1,05/12/2021,W,48.0
