GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV
2015-10-27,1,0021500001,1610612765,DET,Detroit,1-0,25,23,34,24,0,0,0,0,0,0,0,0,0,0,106,0.385,0.769,0.414,23,59,15
2015-10-27,1,0021500001,1610612737,ATL,Atlanta,0-1,25,18,23,28,0,0,0,0,0,0,0,0,0,0,94,0.451,0.8,0.296,22,40,15
2015-10-27,2,0021500002,1610612739,CLE,Cleveland,0-1,17,23,28,27,0,0,0,0,0,0,0,0,0,0,95,0.404,0.588,0.31,26,50,10
2015-10-27,2,0021500002,1610612741,CHI,Chicago,1-0,26,20,25,26,0,0,0,0,0,0,0,0,0,0,97,0.425,0.696,0.368,13,47,13
2015-10-27,3,0021500003,1610612740,NOP,New Orleans,0-1,35,14,26,20,0,0,0,0,0,0,0,0,0,0,95,0.422,0.704,0.333,21,33,18
2015-10-27,3,0021500003,1610612744,GSW,Golden State,1-0,39,20,35,17,0,0,0,0,0,0,0,0,0,0,111,0.427,0.909,0.3,29,56,20
2015-10-28,1,0021500004,1610612764,WAS,Washington,1-0,31,22,12,23,0,0,0,0,0,0,0,0,0,0,88,0.393,0.6,0.25,17,49,17
2015-10-28,1,0021500004,1610612753,ORL,Orlando,0-1,29,22,16,20,0,0,0,0,0,0,0,0,0,0,87,0.37,0.667,0.192,20,56,14
2015-10-28,2,0021500005,1610612755,PHI,Philadelphia,0-1,26,14,27,28,0,0,0,0,0,0,0,0,0,0,95,0.41,0.87,0.318,12,46,22
2015-10-28,2,0021500005,1610612738,BOS,Boston,1-0,21,30,28,33,0,0,0,0,0,0,0,0,0,0,112,0.459,0.963,0.333,31,41,17
2015-10-28,3,0021500006,1610612741,CHI,Chicago,2-0,30,28,28,29,0,0,0,0,0,0,0,0,0,0,115,0.538,0.85,0.5,20,39,19
2015-10-28,3,0021500006,1610612751,BKN,Brooklyn,0-1,19,36,16,29,0,0,0,0,0,0,0,0,0,0,100,0.419,0.786,0.0,19,45,13
