Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2014-04-19,away,Atlanta,Indiana,1610612737,0041300101,43.7,250,345,330,325,300.0,335,327.0,345.0,300.0,0.0,7.0,-110,8.0,-105,8.0,-105,8.0,-110,8.0,-110,8.0,-110,7.83,-108.33,8.0,7.0,-105,-110,0.0,186.5,-110,185.5,-104,185.5,-103,185.5,-110,186,-115,185.5,-105,185.75,-107.83,186.5,185.5,-103,-115,101,8,W,194
2014-04-19,home,Indiana,Atlanta,1610612754,0041300101,56.3,-300,-399,-370,-405,-400.0,-405,-395.8,-370.0,-405.0,100.0,-7.0,-110,-8.0,-105,-8.0,-105,-8.0,-110,-8.0,-110,-8.0,-110,-7.83,-108.33,-7.0,-8.0,-105,-110,100.0,186.5,-110,185.5,-106,185.5,-107,185.5,-110,186,-105,185.5,-115,185.75,-108.83,186.5,185.5,-105,-115,93,-8,L,194
2014-04-19,away,Brooklyn,Toronto,1610612751,0041300121,51.5,145,156,150,150,140.0,146,148.4,156.0,140.0,39.5,3.5,-110,3.5,-101,3.5,-101,3.5,-110,3.5,-110,3.5,-110,3.5,-107.0,3.5,3.5,-101,-110,0.0,196.5,-110,192.5,-102,192.0,-105,192.5,-110,193,-110,192.0,-110,193.08,-107.83,196.5,192.0,-102,-110,94,7,W,181
2014-04-19,home,Toronto,Brooklyn,1610612761,0041300121,48.5,-165,-173,-160,-170,-160.0,-166,-165.8,-160.0,-173.0,60.5,-3.5,-110,-3.5,-109,-3.5,-109,-3.5,-110,-3.5,-110,-3.5,-110,-3.5,-109.67,-3.5,-3.5,-109,-110,100.0,196.5,-110,192.5,-108,192.0,-105,192.5,-110,193,-110,192.0,-110,193.08,-108.83,196.5,192.0,-105,-110,87,-7,L,181
2014-04-19,away,Memphis,Oklahoma City,1610612763,0041300151,45.6,235,330,335,315,300.0,310,318.0,335.0,300.0,0.0,6.5,-110,8.0,-107,8.0,-105,8.0,-110,7.5,-105,8.0,-110,7.67,-107.83,8.0,6.5,-105,-110,7.7,191.0,-110,190.5,-103,190.5,-105,190.0,-110,191,-110,190.5,-110,190.58,-108.0,191.0,190.0,-103,-110,86,-14,L,186
2014-04-19,home,Oklahoma City,Memphis,1610612760,0041300151,54.4,-280,-380,-375,-395,-400.0,-370,-384.0,-370.0,-400.0,100.0,-6.5,-110,-8.0,-103,-8.0,-105,-8.0,-110,-7.5,-115,-8.0,-110,-7.67,-108.83,-6.5,-8.0,-103,-115,92.3,191.0,-110,190.5,-107,190.5,-105,190.0,-110,191,-110,190.5,-110,190.58,-108.67,191.0,190.0,-105,-110,100,14,W,186
2014-04-19,away,Golden State,L.A. Clippers,1610612744,0041300161,51.4,235,305,300,285,270.0,290,290.0,305.0,270.0,0.0,6.5,-110,7.5,-102,7.5,-105,7.5,-110,7.5,-120,7.5,-110,7.33,-109.5,7.5,6.5,-102,-120,42.9,212.0,-110,211.0,-108,211.0,-105,211.0,-110,212,-110,211.0,-110,211.33,-108.83,212.0,211.0,-105,-110,109,4,W,214
2014-04-19,home,L.A. Clippers,Golden State,1610612746,0041300161,48.6,-280,-350,-330,-355,-340.0,-350,-345.0,-330.0,-355.0,100.0,-6.5,-110,-7.5,-108,-7.5,-105,-7.5,-110,-7.5,-100,-7.5,-110,-7.33,-107.17,-6.5,-7.5,-100,-110,57.1,212.0,-110,211.0,-102,211.0,-105,211.0,-110,212,-110,211.0,-110,211.33,-107.83,212.0,211.0,-102,-110,105,-4,L,214
2014-04-20,away,Charlotte,Miami,1610612766,0041300111,38.6,485,524,535,510,450.0,500,503.8,535.0,450.0,0.0,9.0,-110,10.0,-104,10.0,-105,10.0,-110,10.5,-115,10.0,-110,9.92,-109.0,10.5,9.0,-104,-115,0.0,189.0,-110,185.5,-110,185.5,-108,186.0,-110,187,-105,186.0,-110,186.5,-108.83,189.0,185.5,-105,-110,88,-11,L,187
2014-04-20,home,Miami,Charlotte,1610612748,0041300111,61.4,-615,-636,-650,-660,-700.0,-640,-657.2,-636.0,-700.0,100.0,-9.0,-110,-10.0,-106,-10.0,-105,-10.0,-110,-10.5,-105,-10.0,-110,-9.92,-107.67,-9.0,-10.5,-105,-110,100.0,189.0,-110,185.5,-100,185.5,-102,186.0,-110,187,-115,186.0,-110,186.5,-107.83,189.0,185.5,-100,-115,99,11,W,187
