Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2013-10-29,away,Orlando,Indiana,1610612753,0021300001,38.8,670.0,760.0,690,705,,760.0,728.75,760.0,690.0,43.8,11.5,-110,12.0,-105.0,12.0,-101,12.5,-115,12.5,-115,12.5,-110,12.17,-109.33,12.5,11.5,-101.0,-115,37.8,187.5,-110,188.5,-102.0,188.5,-105,189.0,-110,189.0,-110.0,188.5,-110,188.5,-107.83,189.0,187.5,-102.0,-110.0,87.0,-10.0,L,184.0
2013-10-29,home,Indiana,Orlando,1610612754,0021300001,61.2,-850.0,-1000.0,-885,-1105,,-1030.0,-1005.0,-885.0,-1105.0,56.2,-11.5,-110,-12.0,-105.0,-12.0,-109,-12.5,-105,-12.5,-105,-12.5,-110,-12.17,-107.33,-11.5,-12.5,-105.0,-110,62.2,187.5,-110,188.5,-108.0,188.5,-105,189.0,-110,189.0,-110.0,188.5,-110,188.5,-108.83,189.0,187.5,-105.0,-110.0,97.0,10.0,W,184.0
2013-10-29,away,Chicago,Miami,1610612741,0021300002,54.4,195.0,188.0,180,185,175.0,180.0,181.6,188.0,175.0,49.5,5.0,-110,5.0,-104.0,5.0,-110,5.0,-110,5.0,-110,5.0,-115,5.0,-109.83,5.0,5.0,-104.0,-115,50.0,187.5,-110,188.0,-103.0,188.5,-110,188.0,-110,189.0,-110.0,188.5,-110,188.25,-108.83,189.0,187.5,-103.0,-110.0,95.0,-12.0,L,202.0
2013-10-29,home,Miami,Chicago,1610612748,0021300002,45.6,-225.0,-210.0,-220,-220,-210.0,-210.0,-214.0,-210.0,-220.0,50.5,-5.0,-110,-5.0,-106.0,-5.0,-110,-5.0,-110,-5.0,-110,-5.0,-105,-5.0,-108.5,-5.0,-5.0,-105.0,-110,50.0,187.5,-110,188.0,-107.0,188.5,-110,188.0,-110,189.0,-110.0,188.5,-110,188.25,-109.5,189.0,187.5,-107.0,-110.0,107.0,12.0,W,202.0
2013-10-29,away,L.A. Clippers,L.A. Lakers,1610612746,0021300003,53.2,-380.0,-575.0,-550,-640,-600.0,-570.0,-587.0,-550.0,-640.0,61.2,-8.5,-110,-9.5,-110.0,-9.5,-110,-10.0,-110,-10.0,-115,-10.0,-113,-9.58,-111.33,-8.5,-10.0,-110.0,-115,50.0,199.5,-110,202.5,-107.0,202.5,-110,202.0,-110,202.0,-110.0,202.0,-110,201.75,-109.5,202.5,199.5,-107.0,-110.0,103.0,-13.0,L,219.0
2013-10-29,home,L.A. Lakers,L.A. Clippers,1610612747,0021300003,46.8,320.0,480.0,425,440,400.0,455.0,440.0,480.0,400.0,38.8,8.5,-110,9.5,-100.0,9.5,-110,10.0,-110,10.0,-105,10.0,-107,9.58,-107.0,10.0,8.5,-100.0,-110,50.0,199.5,-110,202.5,-103.0,202.5,-110,202.0,-110,202.0,-110.0,202.0,-110,201.75,-108.83,202.5,199.5,-103.0,-110.0,116.0,13.0,W,219.0
2013-10-30,away,Brooklyn,Cleveland,1610612751,0021300004,52.3,-175.0,-148.0,-150,-155,-160.0,-155.0,-153.6,-148.0,-160.0,58.4,-4.0,-110,-3.0,-103.0,-3.0,-106,-3.0,-110,-3.5,-115,-3.0,-110,-3.25,-109.0,-3.0,-4.0,-103.0,-115,32.3,195.0,-110,193.5,-105.0,194.0,-109,194.0,-110,194.0,-110.0,194.0,-110,194.08,-109.0,195.0,193.5,-105.0,-110.0,94.0,-4.0,L,192.0
2013-10-30,home,Cleveland,Brooklyn,1610612739,0021300004,47.7,155.0,134.0,140,135,140.0,135.0,136.8,140.0,134.0,41.6,4.0,-110,3.0,-107.0,3.0,-104,3.0,-110,3.5,-105,3.0,-110,3.25,-107.67,4.0,3.0,-104.0,-110,67.7,195.0,-110,193.5,-105.0,194.0,-101,194.0,-110,194.0,-110.0,194.0,-110,194.08,-107.67,195.0,193.5,-101.0,-110.0,98.0,4.0,W,192.0
2013-10-30,away,Miami,Philadelphia,1610612748,0021300005,64.7,-960.0,-642.0,-645,-795,-700.0,-660.0,-688.4,-642.0,-795.0,61.7,-9.5,-110,-9.5,-105.0,-9.5,-107,-9.5,-110,-10.0,-115,-10.0,-105,-9.67,-108.67,-9.5,-10.0,-105.0,-115,43.4,190.5,-110,195.0,-107.0,195.5,-105,195.5,-110,195.0,-115.0,195.0,-110,194.42,-109.5,195.5,190.5,-105.0,-115.0,110.0,-4.0,L,224.0
2013-10-30,home,Philadelphia,Miami,1610612755,0021300005,35.3,720.0,528.0,530,495,450.0,520.0,504.6,530.0,450.0,38.3,9.5,-110,9.5,-105.0,9.5,-103,9.5,-110,10.0,-105,10.0,-115,9.67,-108.0,10.0,9.5,-103.0,-115,56.6,190.5,-110,195.0,-103.0,195.5,-105,195.5,-110,195.0,-105.0,195.0,-110,194.42,-107.17,195.5,190.5,-103.0,-110.0,114.0,4.0,W,224.0
