,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV
2013-10-29,1,0021300001,1610612753,ORL,Orlando,0-1,18,26,20,23,0,0,0,0,0,0,0,0,0,0,87,0.387,0.6,0.474,17,39,17
2013-10-29,1,0021300001,1610612754,IND,Indiana,1-0,23,17,29,28,0,0,0,0,0,0,0,0,0,0,97,0.479,0.688,0.412,17,44,20
2013-10-29,2,0021300002,1610612741,CHI,Chicago,0-1,15,18,25,37,0,0,0,0,0,0,0,0,0,0,95,0.422,0.783,0.269,23,41,18
2013-10-29,2,0021300002,1610612748,MIA,Miami,1-0,17,37,24,29,0,0,0,0,0,0,0,0,0,0,107,0.514,0.759,0.55,26,40,18
2013-10-29,3,0021300003,1610612746,LAC,Los Angeles,0-1,30,27,22,24,0,0,0,0,0,0,0,0,0,0,103,0.494,0.565,0.381,27,40,16
2013-10-29,3,0021300003,1610612747,LAL,Los Angeles,1-0,28,27,20,41,0,0,0,0,0,0,0,0,0,0,116,0.452,0.643,0.483,23,52,19
2013-10-30,1,0021300004,1610612751,BKN,Brooklyn,0-1,26,22,22,24,0,0,0,0,0,0,0,0,0,0,94,0.402,0.792,0.375,24,37,15
2013-10-30,1,0021300004,1610612739,CLE,Cleveland,1-0,27,22,30,19,0,0,0,0,0,0,0,0,0,0,98,0.417,0.676,0.333,21,48,11
2013-10-30,2,0021300005,1610612748,MIA,Miami,1-1,14,35,45,16,0,0,0,0,0,0,0,0,0,0,110,0.494,0.769,0.4,30,31,19
2013-10-30,2,0021300005,1610612755,PHI,Philadelphia,1-0,33,18,34,29,0,0,0,0,0,0,0,0,0,0,114,0.538,0.833,0.381,24,40,18
2013-10-30,3,0021300006,1610612738,BOS,Boston,0-1,26,11,34,16,0,0,0,0,0,0,0,0,0,0,87,0.485,0.69,0.231,15,33,22
2013-10-30,3,0021300006,1610612761,TOR,Toronto,1-0,21,28,22,22,0,0,0,0,0,0,0,0,0,0,93,0.442,0.522,0.294,15,48,17
2013-10-30,4,0021300007,1610612764,WAS,Washington,0-1,22,21,30,29,0,0,0,0,0,0,0,0,0,0,102,0.436,0.75,0.4,23,38,16
2013-10-30,4,0021300007,1610612765,DET,Detroit,1-0,25,30,26,32,0,0,0,0,0,0,0,0,0,0,113,0.5,0.788,0.375,24,44,18
2013-10-30,5,0021300008,1610612749,MIL,Milwaukee,0-1,18,13,33,19,0,0,0,0,0,0,0,0,0,0,83,0.459,0.833,0.313,19,31,23
2013-10-30,5,0021300008,1610612752,NYK,New York,1-0,24,32,18,16,0,0,0,0,0,0,0,0,0,0,90,0.507,0.882,0.231,17,34,22
2013-10-30,6,0021300009,1610612766,CHA,Charlotte,0-1,19,20,22,22,0,0,0,0,0,0,0,0,0,0,83,0.367,0.65,0.4,14,37,7
2013-10-30,6,0021300009,1610612745,HOU,Houston,1-0,17,28,22,29,0,0,0,0,0,0,0,0,0,0,96,0.474,0.625,0.36,17,54,18
2013-10-30,7,0021300010,1610612753,ORL,Orlando,0-2,27,25,28,23,12,0,0,0,0,0,0,0,0,0,115,0.47,0.611,0.37,21,54,18
2013-10-30,7,0021300010,1610612750,MIN,Minnesota,1-0,38,22,27,16,17,0,0,0,0,0,0,0,0,0,120,0.42,0.824,0.32,27,49,14
2013-10-30,8,0021300011,1610612754,IND,Indiana,2-0,14,22,23,36,0,0,0,0,0,0,0,0,0,0,95,0.429,0.833,0.435,19,37,16
2013-10-30,8,0021300011,1610612740,NOP,New Orleans,0-1,24,26,16,24,0,0,0,0,0,0,0,0,0,0,90,0.4,0.81,0.455,17,43,15
2013-10-30,9,0021300012,1610612737,ATL,Atlanta,0-1,28,27,24,30,0,0,0,0,0,0,0,0,0,0,109,0.487,0.771,0.333,27,33,17
2013-10-30,9,0021300012,1610612742,DAL,Dallas,1-0,33,20,33,32,0,0,0,0,0,0,0,0,0,0,118,0.571,0.792,0.458,31,42,20
2013-10-30,10,0021300013,1610612763,MEM,Memphis,0-1,20,7,31,36,0,0,0,0,0,0,0,0,0,0,94,0.419,0.533,0.533,24,44,14
2013-10-30,10,0021300013,1610612759,SAS,San Antonio,1-0,18,30,24,29,0,0,0,0,0,0,0,0,0,0,101,0.526,0.625,0.55,25,40,15
2013-10-30,11,0021300014,1610612760,OKC,Oklahoma City,1-0,29,28,24,20,0,0,0,0,0,0,0,0,0,0,101,0.407,0.879,0.316,9,45,13
2013-10-30,11,0021300014,1610612762,UTA,Utah,0-1,29,19,25,25,0,0,0,0,0,0,0,0,0,0,98,0.456,0.667,0.273,25,44,22
